Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
101,2021/3/2,DEN,@,MIL,W 128-97,240,53,95,0.558,42,65,0.646,11,30,0.367,11,12,0.917,128,32,79,0.405,21,39,0.538,11,40,0.275,22,31,0.71,97
102,2021/3/2,MIL,,DEN,L 97-128,240,32,79,0.405,21,39,0.538,11,40,0.275,22,31,0.71,97,53,95,0.558,42,65,0.646,11,30,0.367,11,12,0.917,128
103,2021/3/2,NYK,@,SAS,L 93-119,240,33,81,0.407,18,45,0.4,15,36,0.417,12,15,0.8,93,43,89,0.483,25,47,0.532,18,42,0.429,15,21,0.714,119
104,2021/3/2,SAS,,NYK,W 119-93,240,43,89,0.483,25,47,0.532,18,42,0.429,15,21,0.714,119,33,81,0.407,18,45,0.4,15,36,0.417,12,15,0.8,93
105,2021/3/2,MEM,@,WAS,W 125-111,240,47,95,0.495,34,66,0.515,13,29,0.448,18,23,0.783,125,41,81,0.506,30,50,0.6,11,31,0.355,18,25,0.72,111
106,2021/3/2,WAS,,MEM,L 111-125,240,41,81,0.506,30,50,0.6,11,31,0.355,18,25,0.72,111,47,95,0.495,34,66,0.515,13,29,0.448,18,23,0.783,125
107,2021/3/1,CHI,,DEN,L 112-118,240,42,94,0.447,30,56,0.536,12,38,0.316,16,22,0.727,112,46,87,0.529,36,60,0.6,10,27,0.37,16,20,0.8,118
108,2021/3/1,DEN,@,CHI,W 118-112,240,46,87,0.529,36,60,0.6,10,27,0.37,16,20,0.8,118,42,94,0.447,30,56,0.536,12,38,0.316,16,22,0.727,112
109,2021/3/1,CLE,@,HOU,W 101-90,240,36,73,0.493,26,43,0.605,10,30,0.333,19,24,0.792,101,31,76,0.408,21,45,0.467,10,31,0.323,18,24,0.75,90
110,2021/3/1,HOU,,CLE,L 90-101,240,31,76,0.408,21,45,0.467,10,31,0.323,18,24,0.75,90,36,73,0.493,26,43,0.605,10,30,0.333,19,24,0.792,101
111,2021/3/1,NOP,,UTA,W 129-124,240,52,92,0.565,45,81,0.556,7,11,0.636,18,23,0.783,129,46,101,0.455,29,58,0.5,17,43,0.395,15,18,0.833,124
112,2021/3/1,UTA,@,NOP,L 124-129,240,46,101,0.455,29,58,0.5,17,43,0.395,15,18,0.833,124,52,92,0.565,45,81,0.556,7,11,0.636,18,23,0.783,129
113,2021/3/1,DAL,@,ORL,W 130-124,240,47,90,0.522,30,44,0.682,17,46,0.37,19,23,0.826,130,47,95,0.495,27,54,0.5,20,41,0.488,10,14,0.714,124
114,2021/3/1,ORL,,DAL,L 124-130,240,47,95,0.495,27,54,0.5,20,41,0.488,10,14,0.714,124,47,90,0.522,30,44,0.682,17,46,0.37,19,23,0.826,130
115,2021/3/1,IND,@,PHI,L 114-130,240,44,91,0.484,36,62,0.581,8,29,0.276,18,21,0.857,114,50,88,0.568,35,53,0.66,15,35,0.429,15,16,0.938,130
