Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,2021/3/13,ATL,,SAC,W 121-106,240,43,84,0.512,31,51,0.608,12,33,0.364,23,33,0.697,121,43,98,0.439,36,62,0.581,7,36,0.194,13,16,0.813,106
2,2021/3/13,SAC,@,ATL,L 106-121,240,43,98,0.439,36,62,0.581,7,36,0.194,13,16,0.813,106,43,84,0.512,31,51,0.608,12,33,0.364,23,33,0.697,121
3,2021/3/13,BRK,,DET,W 100-95,240,39,81,0.481,33,54,0.611,6,27,0.222,16,22,0.727,100,36,89,0.404,28,57,0.491,8,32,0.25,15,20,0.75,95
4,2021/3/13,DET,@,BRK,L 95-100,240,36,89,0.404,28,57,0.491,8,32,0.25,15,20,0.75,95,39,81,0.481,33,54,0.611,6,27,0.222,16,22,0.727,100
5,2021/3/13,CHO,,TOR,W 114-104,240,39,80,0.488,18,31,0.581,21,49,0.429,15,19,0.789,114,37,96,0.385,22,50,0.44,15,46,0.326,15,18,0.833,104
6,2021/3/13,TOR,@,CHO,L 104-114,240,37,96,0.385,22,50,0.44,15,46,0.326,15,18,0.833,104,39,80,0.488,18,31,0.581,21,49,0.429,15,19,0.789,114
7,2021/3/13,DAL,@,DEN,W 116-103,240,42,86,0.488,24,40,0.6,18,46,0.391,14,16,0.875,116,37,90,0.411,21,49,0.429,16,41,0.39,13,18,0.722,103
8,2021/3/13,DEN,,DAL,L 103-116,240,37,90,0.411,21,49,0.429,16,41,0.39,13,18,0.722,103,42,86,0.488,24,40,0.6,18,46,0.391,14,16,0.875,116
9,2021/3/13,MIN,,POR,L 121-125,240,44,86,0.512,34,60,0.567,10,26,0.385,23,31,0.742,121,43,89,0.483,30,49,0.612,13,40,0.325,26,30,0.867,125
10,2021/3/13,POR,@,MIN,W 125-121,240,43,89,0.483,30,49,0.612,13,40,0.325,26,30,0.867,125,44,86,0.512,34,60,0.567,10,26,0.385,23,31,0.742,121
11,2021/3/13,NYK,@,OKC,W 119-97,240,44,91,0.484,30,56,0.536,14,35,0.4,17,22,0.773,119,37,76,0.487,29,44,0.659,8,32,0.25,15,21,0.714,97
