Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
201,2021/2/23,ATL,@,CLE,L 111-112,240,40,89,0.449,26,58,0.448,14,31,0.452,17,23,0.739,111,41,78,0.526,26,50,0.52,15,28,0.536,15,19,0.789,112
202,2021/2/23,CLE,,ATL,W 112-111,240,41,78,0.526,26,50,0.52,15,28,0.536,15,19,0.789,112,40,89,0.449,26,58,0.448,14,31,0.452,17,23,0.739,111
203,2021/2/23,BOS,@,DAL,L 107-110,240,41,86,0.477,29,47,0.617,12,39,0.308,13,18,0.722,107,42,89,0.472,29,56,0.518,13,33,0.394,13,15,0.867,110
204,2021/2/23,DAL,,BOS,W 110-107,240,42,89,0.472,29,56,0.518,13,33,0.394,13,15,0.867,110,41,86,0.477,29,47,0.617,12,39,0.308,13,18,0.722,107
205,2021/2/23,DEN,,POR,W 111-106,240,40,94,0.426,26,58,0.448,14,36,0.389,17,18,0.944,111,41,87,0.471,27,46,0.587,14,41,0.341,10,10,1,106
206,2021/2/23,POR,@,DEN,L 106-111,240,41,87,0.471,27,46,0.587,14,41,0.341,10,10,1,106,40,94,0.426,26,58,0.448,14,36,0.389,17,18,0.944,111
207,2021/2/23,LAC,,WAS,W 135-116,240,54,94,0.574,35,56,0.625,19,38,0.5,8,13,0.615,135,47,88,0.534,36,68,0.529,11,20,0.55,11,16,0.688,116
208,2021/2/23,WAS,@,LAC,L 116-135,240,47,88,0.534,36,68,0.529,11,20,0.55,11,16,0.688,116,54,94,0.574,35,56,0.625,19,38,0.5,8,13,0.615,135
209,2021/2/23,MIL,,MIN,W 139-112,240,53,99,0.535,33,57,0.579,20,42,0.476,13,18,0.722,139,42,98,0.429,23,44,0.523,19,54,0.352,9,9,1,112
210,2021/2/23,MIN,@,MIL,L 112-139,240,42,98,0.429,23,44,0.523,19,54,0.352,9,9,1,112,53,99,0.535,33,57,0.579,20,42,0.476,13,18,0.722,139
211,2021/2/23,GSW,@,NYK,W 114-106,240,40,89,0.449,27,51,0.529,13,38,0.342,21,24,0.875,114,38,97,0.392,27,68,0.397,11,29,0.379,19,22,0.864,106
212,2021/2/23,NYK,,GSW,L 106-114,240,38,97,0.392,27,68,0.397,11,29,0.379,19,22,0.864,106,40,89,0.449,27,51,0.529,13,38,0.342,21,24,0.875,114
213,2021/2/23,DET,@,ORL,W 105-93,240,41,88,0.466,31,54,0.574,10,34,0.294,13,16,0.813,105,33,88,0.375,19,50,0.38,14,38,0.368,13,22,0.591,93
214,2021/2/23,ORL,,DET,L 93-105,240,33,88,0.375,19,50,0.38,14,38,0.368,13,22,0.591,93,41,88,0.466,31,54,0.574,10,34,0.294,13,16,0.813,105
215,2021/2/23,PHI,@,TOR,W 109-102,240,33,80,0.413,16,42,0.381,17,38,0.447,26,30,0.867,109,40,93,0.43,29,56,0.518,11,37,0.297,11,13,0.846,102
216,2021/2/23,TOR,,PHI,L 102-109,240,40,93,0.43,29,56,0.518,11,37,0.297,11,13,0.846,102,33,80,0.413,16,42,0.381,17,38,0.447,26,30,0.867,109
217,2021/2/22,DAL,,MEM,W 102-92,240,35,80,0.438,20,39,0.513,15,41,0.366,17,26,0.654,102,37,94,0.394,31,63,0.492,6,31,0.194,12,19,0.632,92
218,2021/2/22,MEM,@,DAL,L 92-102,240,37,94,0.394,31,63,0.492,6,31,0.194,12,19,0.632,92,35,80,0.438,20,39,0.513,15,41,0.366,17,26,0.654,102
