Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
601,2021/1/27,ATL,,BRK,L 128-132 (OT),265,45,94,0.479,32,61,0.525,13,33,0.394,25,28,0.893,128,52,98,0.531,41,66,0.621,11,32,0.344,17,20,0.85,132
602,2021/1/27,BRK,@,ATL,W 132-128 (OT),265,52,98,0.531,41,66,0.621,11,32,0.344,17,20,0.85,132,45,94,0.479,32,61,0.525,13,33,0.394,25,28,0.893,128
603,2021/1/27,CHO,,IND,L 106-116,240,37,90,0.411,24,52,0.462,13,38,0.342,19,21,0.905,106,45,88,0.511,29,48,0.604,16,40,0.4,10,12,0.833,116
604,2021/1/27,IND,@,CHO,W 116-106,240,45,88,0.511,29,48,0.604,16,40,0.4,10,12,0.833,116,37,90,0.411,24,52,0.462,13,38,0.342,19,21,0.905,106
605,2021/1/27,CLE,,DET,W 122-107,240,47,87,0.54,36,66,0.545,11,21,0.524,17,23,0.739,122,37,82,0.451,26,55,0.473,11,27,0.407,22,29,0.759,107
606,2021/1/27,DET,@,CLE,L 107-122,240,37,82,0.451,26,55,0.473,11,27,0.407,22,29,0.759,107,47,87,0.54,36,66,0.545,11,21,0.524,17,23,0.739,122
607,2021/1/27,GSW,,MIN,W 123-111,240,45,85,0.529,30,51,0.588,15,34,0.441,18,23,0.783,123,37,87,0.425,23,51,0.451,14,36,0.389,23,33,0.697,111
608,2021/1/27,MIN,@,GSW,L 111-123,240,37,87,0.425,23,51,0.451,14,36,0.389,23,33,0.697,111,45,85,0.529,30,51,0.588,15,34,0.441,18,23,0.783,123
609,2021/1/27,DEN,@,MIA,W 109-82,240,42,92,0.457,28,49,0.571,14,43,0.326,11,11,1,109,30,80,0.375,17,35,0.486,13,45,0.289,9,11,0.818,82
610,2021/1/27,MIA,,DEN,L 82-109,240,30,80,0.375,17,35,0.486,13,45,0.289,9,11,0.818,82,42,92,0.457,28,49,0.571,14,43,0.326,11,11,1,109
611,2021/1/27,NOP,,WAS,W 124-106,240,46,89,0.517,29,46,0.63,17,43,0.395,15,24,0.625,124,37,92,0.402,24,54,0.444,13,38,0.342,19,21,0.905,106
612,2021/1/27,WAS,@,NOP,L 106-124,240,37,92,0.402,24,54,0.444,13,38,0.342,19,21,0.905,106,46,89,0.517,29,46,0.63,17,43,0.395,15,24,0.625,124
613,2021/1/27,ORL,,SAC,L 107-121,240,40,96,0.417,30,70,0.429,10,26,0.385,17,18,0.944,107,45,92,0.489,31,59,0.525,14,33,0.424,17,26,0.654,121
614,2021/1/27,SAC,@,ORL,W 121-107,240,45,92,0.489,31,59,0.525,14,33,0.424,17,26,0.654,121,40,96,0.417,30,70,0.429,10,26,0.385,17,18,0.944,107
615,2021/1/27,LAL,@,PHI,L 106-107,240,41,86,0.477,33,62,0.532,8,24,0.333,16,25,0.64,106,41,85,0.482,32,60,0.533,9,25,0.36,16,26,0.615,107
616,2021/1/27,PHI,,LAL,W 107-106,240,41,85,0.482,32,60,0.533,9,25,0.36,16,26,0.615,107,41,86,0.477,33,62,0.532,8,24,0.333,16,25,0.64,106
617,2021/1/27,OKC,@,PHO,W 102-97,240,38,85,0.447,22,45,0.489,16,40,0.4,10,14,0.714,102,36,95,0.379,21,52,0.404,15,43,0.349,10,12,0.833,97
618,2021/1/27,PHO,,OKC,L 97-102,240,36,95,0.379,21,52,0.404,15,43,0.349,10,12,0.833,97,38,85,0.447,22,45,0.489,16,40,0.4,10,14,0.714,102
619,2021/1/27,BOS,@,SAS,L 106-110,240,42,98,0.429,32,68,0.471,10,30,0.333,12,14,0.857,106,46,82,0.561,38,54,0.704,8,28,0.286,10,16,0.625,110
620,2021/1/27,SAS,,BOS,W 110-106,240,46,82,0.561,38,54,0.704,8,28,0.286,10,16,0.625,110,42,98,0.429,32,68,0.471,10,30,0.333,12,14,0.857,106
621,2021/1/27,MIL,@,TOR,W 115-108,240,40,93,0.43,24,49,0.49,16,44,0.364,19,26,0.731,115,38,94,0.404,16,39,0.41,22,55,0.4,10,12,0.833,108
622,2021/1/27,TOR,,MIL,L 108-115,240,38,94,0.404,16,39,0.41,22,55,0.4,10,12,0.833,108,40,93,0.43,24,49,0.49,16,44,0.364,19,26,0.731,115
623,2021/1/27,DAL,@,UTA,L 104-116,240,42,91,0.462,30,56,0.536,12,35,0.343,8,9,0.889,104,42,91,0.462,26,50,0.52,16,41,0.39,16,21,0.762,116
624,2021/1/27,UTA,,DAL,W 116-104,240,42,91,0.462,26,50,0.52,16,41,0.39,16,21,0.762,116,42,91,0.462,30,56,0.536,12,35,0.343,8,9,0.889,104
625,2021/1/26,ATL,,LAC,W 108-99,240,37,80,0.463,27,54,0.5,10,26,0.385,24,25,0.96,108,36,89,0.404,28,63,0.444,8,26,0.308,19,22,0.864,99
626,2021/1/26,LAC,@,ATL,L 99-108,240,36,89,0.404,28,63,0.444,8,26,0.308,19,22,0.864,99,37,80,0.463,27,54,0.5,10,26,0.385,24,25,0.96,108
627,2021/1/26,HOU,,WAS,W 107-88,240,37,88,0.42,25,51,0.49,12,37,0.324,21,29,0.724,107,33,84,0.393,28,58,0.483,5,26,0.192,17,23,0.739,88
628,2021/1/26,WAS,@,HOU,L 88-107,240,33,84,0.393,28,58,0.483,5,26,0.192,17,23,0.739,88,37,88,0.42,25,51,0.49,12,37,0.324,21,29,0.724,107
629,2021/1/26,NYK,@,UTA,L 94-108,240,36,83,0.434,26,56,0.464,10,27,0.37,12,17,0.706,94,37,92,0.402,22,44,0.5,15,48,0.313,19,22,0.864,108
630,2021/1/26,UTA,,NYK,W 108-94,240,37,92,0.402,22,44,0.5,15,48,0.313,19,22,0.864,108,36,83,0.434,26,56,0.464,10,27,0.37,12,17,0.706,94
631,2021/1/25,BRK,,MIA,W 98-85,240,34,85,0.4,23,47,0.489,11,38,0.289,19,22,0.864,98,31,84,0.369,20,41,0.488,11,43,0.256,12,17,0.706,85
632,2021/1/25,MIA,@,BRK,L 85-98,240,31,84,0.369,20,41,0.488,11,43,0.256,12,17,0.706,85,34,85,0.4,23,47,0.489,11,38,0.289,19,22,0.864,98
633,2021/1/25,BOS,@,CHI,W 119-103,240,44,87,0.506,29,58,0.5,15,29,0.517,16,20,0.8,119,41,88,0.466,24,49,0.49,17,39,0.436,4,10,0.4,103
634,2021/1/25,CHI,,BOS,L 103-119,240,41,88,0.466,24,49,0.49,17,39,0.436,4,10,0.4,103,44,87,0.506,29,58,0.5,15,29,0.517,16,20,0.8,119
635,2021/1/25,CLE,,LAL,L 108-115,240,40,86,0.465,31,65,0.477,9,21,0.429,19,22,0.864,108,42,87,0.483,32,55,0.582,10,32,0.313,21,28,0.75,115
636,2021/1/25,LAL,@,CLE,W 115-108,240,42,87,0.483,32,55,0.582,10,32,0.313,21,28,0.75,115,40,86,0.465,31,65,0.477,9,21,0.429,19,22,0.864,108
637,2021/1/25,DAL,,DEN,L 113-117,240,41,84,0.488,30,52,0.577,11,32,0.344,20,24,0.833,113,40,79,0.506,25,44,0.568,15,35,0.429,22,28,0.786,117
638,2021/1/25,DEN,@,DAL,W 117-113,240,40,79,0.506,25,44,0.568,15,35,0.429,22,28,0.786,117,41,84,0.488,30,52,0.577,11,32,0.344,20,24,0.833,113
639,2021/1/25,DET,,PHI,W 119-104,240,35,70,0.5,18,32,0.563,17,38,0.447,32,38,0.842,119,40,94,0.426,31,66,0.47,9,28,0.321,15,20,0.75,104
640,2021/1/25,PHI,@,DET,L 104-119,240,40,94,0.426,31,66,0.47,9,28,0.321,15,20,0.75,104,35,70,0.5,18,32,0.563,17,38,0.447,32,38,0.842,119
641,2021/1/25,GSW,,MIN,W 130-108,240,44,89,0.494,30,59,0.508,14,30,0.467,28,37,0.757,130,39,94,0.415,31,70,0.443,8,24,0.333,22,25,0.88,108
642,2021/1/25,MIN,@,GSW,L 108-130,240,39,94,0.415,31,70,0.443,8,24,0.333,22,25,0.88,108,44,89,0.494,30,59,0.508,14,30,0.467,28,37,0.757,130
643,2021/1/25,IND,,TOR,W 129-114,240,40,78,0.513,28,49,0.571,12,29,0.414,37,45,0.822,129,38,93,0.409,24,55,0.436,14,38,0.368,24,27,0.889,114
644,2021/1/25,TOR,@,IND,L 114-129,240,38,93,0.409,24,55,0.436,14,38,0.368,24,27,0.889,114,40,78,0.513,28,49,0.571,12,29,0.414,37,45,0.822,129
