Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
318,2021/2/15,NYK,,ATL,W 123-112,240,42,83,0.506,25,49,0.51,17,34,0.5,22,27,0.815,123,36,85,0.424,25,52,0.481,11,33,0.333,29,32,0.906,112
319,2021/2/15,BRK,@,SAC,W 136-125,240,51,89,0.573,24,42,0.571,27,47,0.574,7,12,0.583,136,51,96,0.531,39,63,0.619,12,33,0.364,11,13,0.846,125
320,2021/2/15,SAC,,BRK,L 125-136,240,51,96,0.531,39,63,0.619,12,33,0.364,11,13,0.846,125,51,89,0.573,24,42,0.571,27,47,0.574,7,12,0.583,136
321,2021/2/15,PHI,@,UTA,L 123-134,240,47,94,0.5,39,71,0.549,8,23,0.348,21,24,0.875,123,45,86,0.523,27,41,0.659,18,45,0.4,26,31,0.839,134
322,2021/2/15,UTA,,PHI,W 134-123,240,45,86,0.523,27,41,0.659,18,45,0.4,26,31,0.839,134,47,94,0.5,39,71,0.549,8,23,0.348,21,24,0.875,123
323,2021/2/15,HOU,@,WAS,L 119-131,240,43,91,0.473,35,54,0.648,8,37,0.216,25,34,0.735,119,48,92,0.522,36,62,0.581,12,30,0.4,23,31,0.742,131
324,2021/2/15,WAS,,HOU,W 131-119,240,48,92,0.522,36,62,0.581,12,30,0.4,23,31,0.742,131,43,91,0.473,35,54,0.648,8,37,0.216,25,34,0.735,119
325,2021/2/14,CHO,,SAS,L 110-122,240,45,95,0.474,33,61,0.541,12,34,0.353,8,11,0.727,110,48,96,0.5,38,62,0.613,10,34,0.294,16,19,0.842,122
326,2021/2/14,SAS,@,CHO,W 122-110,240,48,96,0.5,38,62,0.613,10,34,0.294,16,19,0.842,122,45,95,0.474,33,61,0.541,12,34,0.353,8,11,0.727,110
327,2021/2/14,DAL,,POR,L 118-121,240,40,81,0.494,26,40,0.65,14,41,0.341,24,25,0.96,118,45,85,0.529,27,45,0.6,18,40,0.45,13,19,0.684,121
328,2021/2/14,POR,@,DAL,W 121-118,240,45,85,0.529,27,45,0.6,18,40,0.45,13,19,0.684,121,40,81,0.494,26,40,0.65,14,41,0.341,24,25,0.96,118
329,2021/2/14,DEN,,LAL,W 122-105,240,39,85,0.459,20,38,0.526,19,47,0.404,25,34,0.735,122,40,87,0.46,34,59,0.576,6,28,0.214,19,29,0.655,105
330,2021/2/14,LAL,@,DEN,L 105-122,240,40,87,0.46,34,59,0.576,6,28,0.214,19,29,0.655,105,39,85,0.459,20,38,0.526,19,47,0.404,25,34,0.735,122
331,2021/2/14,DET,,NOP,W 123-112,240,45,84,0.536,28,49,0.571,17,35,0.486,16,20,0.8,123,40,90,0.444,31,55,0.564,9,35,0.257,23,28,0.821,112
332,2021/2/14,NOP,@,DET,L 112-123,240,40,90,0.444,31,55,0.564,9,35,0.257,23,28,0.821,112,45,84,0.536,28,49,0.571,17,35,0.486,16,20,0.8,123
333,2021/2/14,CLE,@,LAC,L 111-128,240,43,93,0.462,36,68,0.529,7,25,0.28,18,25,0.72,111,42,88,0.477,29,58,0.5,13,30,0.433,31,36,0.861,128
334,2021/2/14,LAC,,CLE,W 128-111,240,42,88,0.477,29,58,0.5,13,30,0.433,31,36,0.861,128,43,93,0.462,36,68,0.529,7,25,0.28,18,25,0.72,111
335,2021/2/14,MIL,@,OKC,L 109-114,240,45,97,0.464,32,59,0.542,13,38,0.342,6,9,0.667,109,45,95,0.474,30,59,0.508,15,36,0.417,9,16,0.563,114
