Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
701,2021/1/21,LAL,@,MIL,W 113-106,240,41,88,0.466,22,51,0.431,19,37,0.514,12,15,0.8,113,44,87,0.506,35,59,0.593,9,28,0.321,9,12,0.75,106
702,2021/1/21,MIL,,LAL,L 106-113,240,44,87,0.506,35,59,0.593,9,28,0.321,9,12,0.75,106,41,88,0.466,22,51,0.431,19,37,0.514,12,15,0.8,113
703,2021/1/21,NOP,@,UTA,L 118-129,240,42,85,0.494,31,60,0.517,11,25,0.44,23,30,0.767,118,44,88,0.5,27,49,0.551,17,39,0.436,24,25,0.96,129
704,2021/1/21,UTA,,NOP,W 129-118,240,44,88,0.5,27,49,0.551,17,39,0.436,24,25,0.96,129,42,85,0.494,31,60,0.517,11,25,0.44,23,30,0.767,118
705,2021/1/20,ATL,,DET,W 123-115 (OT),265,44,100,0.44,35,77,0.455,9,23,0.391,26,38,0.684,123,44,97,0.454,34,66,0.515,10,31,0.323,17,19,0.895,115
706,2021/1/20,DET,@,ATL,L 115-123 (OT),265,44,97,0.454,34,66,0.515,10,31,0.323,17,19,0.895,115,44,100,0.44,35,77,0.455,9,23,0.391,26,38,0.684,123
707,2021/1/20,BRK,@,CLE,L 135-147 (2OT),290,48,106,0.453,33,65,0.508,15,41,0.366,24,27,0.889,135,56,109,0.514,36,69,0.522,20,40,0.5,15,21,0.714,147
708,2021/1/20,CLE,,BRK,W 147-135 (2OT),290,56,109,0.514,36,69,0.522,20,40,0.5,15,21,0.714,147,48,106,0.453,33,65,0.508,15,41,0.366,24,27,0.889,135
709,2021/1/20,GSW,,SAS,W 121-99,240,46,91,0.505,31,53,0.585,15,38,0.395,14,20,0.7,121,35,94,0.372,31,61,0.508,4,33,0.121,25,31,0.806,99
710,2021/1/20,SAS,@,GSW,L 99-121,240,35,94,0.372,31,61,0.508,4,33,0.121,25,31,0.806,99,46,91,0.505,31,53,0.585,15,38,0.395,14,20,0.7,121
711,2021/1/20,HOU,,PHO,L 103-109,240,37,88,0.42,27,57,0.474,10,31,0.323,19,22,0.864,103,42,89,0.472,34,55,0.618,8,34,0.235,17,19,0.895,109
