Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
801,2021/1/13,LAL,@,OKC,W 128-99,240,47,95,0.495,30,58,0.517,17,37,0.459,17,22,0.773,128,37,86,0.43,27,55,0.491,10,31,0.323,15,19,0.789,99
802,2021/1/13,OKC,,LAL,L 99-128,240,37,86,0.43,27,55,0.491,10,31,0.323,15,19,0.789,99,47,95,0.495,30,58,0.517,17,37,0.459,17,22,0.773,128
803,2021/1/13,POR,@,SAC,W 132-126,240,44,90,0.489,21,42,0.5,23,48,0.479,21,27,0.778,132,44,84,0.524,25,46,0.543,19,38,0.5,19,26,0.731,126
804,2021/1/13,SAC,,POR,L 126-132,240,44,84,0.524,25,46,0.543,19,38,0.5,19,26,0.731,126,44,90,0.489,21,42,0.5,23,48,0.479,21,27,0.778,132
805,2021/1/12,BRK,,DEN,W 122-116,240,48,79,0.608,32,47,0.681,16,32,0.5,10,15,0.667,122,44,88,0.5,26,51,0.51,18,37,0.486,10,16,0.625,116
806,2021/1/12,DEN,@,BRK,L 116-122,240,44,88,0.5,26,51,0.51,18,37,0.486,10,16,0.625,116,48,79,0.608,32,47,0.681,16,32,0.5,10,15,0.667,122
807,2021/1/12,CLE,,UTA,L 87-117,240,35,90,0.389,27,59,0.458,8,31,0.258,9,14,0.643,87,42,84,0.5,18,39,0.462,24,45,0.533,9,12,0.75,117
808,2021/1/12,UTA,@,CLE,W 117-87,240,42,84,0.5,18,39,0.462,24,45,0.533,9,12,0.75,117,35,90,0.389,27,59,0.458,8,31,0.258,9,14,0.643,87
809,2021/1/12,GSW,,IND,L 95-104,240,34,89,0.382,21,51,0.412,13,38,0.342,14,22,0.636,95,39,88,0.443,30,60,0.5,9,28,0.321,17,25,0.68,104
810,2021/1/12,IND,@,GSW,W 104-95,240,39,88,0.443,30,60,0.5,9,28,0.321,17,25,0.68,104,34,89,0.382,21,51,0.412,13,38,0.342,14,22,0.636,95
