Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1001,2020/12/31,CHI,@,WAS,W 133-130,240,50,92,0.543,36,56,0.643,14,36,0.389,19,25,0.76,133,42,84,0.5,28,55,0.509,14,29,0.483,32,41,0.78,130
1002,2020/12/31,WAS,,CHI,L 130-133,240,42,84,0.5,28,55,0.509,14,29,0.483,32,41,0.78,130,50,92,0.543,36,56,0.643,14,36,0.389,19,25,0.76,133
1003,2020/12/30,BOS,,MEM,W 126-107,240,49,91,0.538,33,52,0.635,16,39,0.41,12,14,0.857,126,40,93,0.43,31,60,0.517,9,33,0.273,18,25,0.72,107
1004,2020/12/30,MEM,@,BOS,L 107-126,240,40,93,0.43,31,60,0.517,9,33,0.273,18,25,0.72,107,49,91,0.538,33,52,0.635,16,39,0.41,12,14,0.857,126
1005,2020/12/30,ATL,@,BRK,L 141-145,240,47,99,0.475,29,53,0.547,18,46,0.391,29,35,0.829,141,54,100,0.54,35,59,0.593,19,41,0.463,18,23,0.783,145
1006,2020/12/30,BRK,,ATL,W 145-141,240,54,100,0.54,35,59,0.593,19,41,0.463,18,23,0.783,145,47,99,0.475,29,53,0.547,18,46,0.391,29,35,0.829,141
1007,2020/12/30,CHO,@,DAL,W 118-99,240,43,84,0.512,28,50,0.56,15,34,0.441,17,21,0.81,118,34,87,0.391,22,45,0.489,12,42,0.286,19,33,0.576,99
1008,2020/12/30,DAL,,CHO,L 99-118,240,34,87,0.391,22,45,0.489,12,42,0.286,19,33,0.576,99,43,84,0.512,28,50,0.56,15,34,0.441,17,21,0.81,118
1009,2020/12/30,LAC,,POR,W 128-105,240,47,95,0.495,29,57,0.509,18,38,0.474,16,22,0.727,128,32,76,0.421,20,38,0.526,12,38,0.316,29,34,0.853,105
1010,2020/12/30,POR,@,LAC,L 105-128,240,32,76,0.421,20,38,0.526,12,38,0.316,29,34,0.853,105,47,95,0.495,29,57,0.509,18,38,0.474,16,22,0.727,128
