Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
401,2021/2/10,MIL,@,PHO,L 124-125,240,43,85,0.506,27,48,0.563,16,37,0.432,22,30,0.733,124,46,87,0.529,31,56,0.554,15,31,0.484,18,25,0.72,125
402,2021/2/10,PHO,,MIL,W 125-124,240,46,87,0.529,31,56,0.554,15,31,0.484,18,25,0.72,125,43,85,0.506,27,48,0.563,16,37,0.432,22,30,0.733,124
403,2021/2/10,TOR,@,WAS,W 137-115,240,49,93,0.527,30,61,0.492,19,32,0.594,20,23,0.87,137,42,93,0.452,30,52,0.577,12,41,0.293,19,23,0.826,115
404,2021/2/10,WAS,,TOR,L 115-137,240,42,93,0.452,30,52,0.577,12,41,0.293,19,23,0.826,115,49,93,0.527,30,61,0.492,19,32,0.594,20,23,0.87,137
405,2021/2/9,BRK,@,DET,L 111-122,240,43,86,0.5,32,56,0.571,11,30,0.367,14,16,0.875,111,47,84,0.56,34,55,0.618,13,29,0.448,15,21,0.714,122
406,2021/2/9,DET,,BRK,W 122-111,240,47,84,0.56,34,55,0.618,13,29,0.448,15,21,0.714,122,43,86,0.5,32,56,0.571,11,30,0.367,14,16,0.875,111
407,2021/2/9,MIA,,NYK,W 98-96,240,26,70,0.371,12,37,0.324,14,33,0.424,32,39,0.821,98,37,87,0.425,27,59,0.458,10,28,0.357,12,16,0.75,96
408,2021/2/9,NYK,@,MIA,L 96-98,240,37,87,0.425,27,59,0.458,10,28,0.357,12,16,0.75,96,26,70,0.371,12,37,0.324,14,33,0.424,32,39,0.821,98
409,2021/2/9,HOU,@,NOP,L 101-130,240,38,91,0.418,25,48,0.521,13,43,0.302,12,21,0.571,101,47,92,0.511,35,61,0.574,12,31,0.387,24,28,0.857,130
410,2021/2/9,NOP,,HOU,W 130-101,240,47,92,0.511,35,61,0.574,12,31,0.387,24,28,0.857,130,38,91,0.418,25,48,0.521,13,43,0.302,12,21,0.571,101
411,2021/2/9,ORL,@,POR,L 97-106,240,37,88,0.42,26,53,0.491,11,35,0.314,12,22,0.545,97,35,90,0.389,17,44,0.386,18,46,0.391,18,19,0.947,106
