Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1101,2020/12/23,DEN,,SAC,L 122-124 (OT),265,47,98,0.48,39,69,0.565,8,29,0.276,20,24,0.833,122,45,102,0.441,35,71,0.493,10,31,0.323,24,31,0.774,124
1102,2020/12/23,SAC,@,DEN,W 124-122 (OT),265,45,102,0.441,35,71,0.493,10,31,0.323,24,31,0.774,124,47,98,0.48,39,69,0.565,8,29,0.276,20,24,0.833,122
1103,2020/12/23,IND,,NYK,W 121-107,240,46,94,0.489,38,60,0.633,8,34,0.235,21,29,0.724,121,39,85,0.459,27,57,0.474,12,28,0.429,17,23,0.739,107
1104,2020/12/23,NYK,@,IND,L 107-121,240,39,85,0.459,27,57,0.474,12,28,0.429,17,23,0.739,107,46,94,0.489,38,60,0.633,8,34,0.235,21,29,0.724,121
1105,2020/12/23,MEM,,SAS,L 119-131,240,49,95,0.516,39,68,0.574,10,27,0.37,11,18,0.611,119,48,95,0.505,38,70,0.543,10,25,0.4,25,29,0.862,131
1106,2020/12/23,SAS,@,MEM,W 131-119,240,48,95,0.505,38,70,0.543,10,25,0.4,25,29,0.862,131,49,95,0.516,39,68,0.574,10,27,0.37,11,18,0.611,119
1107,2020/12/23,DET,@,MIN,L 101-111,240,45,93,0.484,37,58,0.638,8,35,0.229,3,8,0.375,101,38,88,0.432,27,47,0.574,11,41,0.268,24,28,0.857,111
1108,2020/12/23,MIN,,DET,W 111-101,240,38,88,0.432,27,47,0.574,11,41,0.268,24,28,0.857,111,45,93,0.484,37,58,0.638,8,35,0.229,3,8,0.375,101
1109,2020/12/23,MIA,@,ORL,L 107-113,240,42,83,0.506,35,63,0.556,7,20,0.35,16,19,0.842,107,42,88,0.477,32,60,0.533,10,28,0.357,19,30,0.633,113
1110,2020/12/23,ORL,,MIA,W 113-107,240,42,88,0.477,32,60,0.533,10,28,0.357,19,30,0.633,113,42,83,0.506,35,63,0.556,7,20,0.35,16,19,0.842,107
1111,2020/12/23,PHI,,WAS,W 113-107,240,41,87,0.471,33,59,0.559,8,28,0.286,23,30,0.767,113,39,85,0.459,26,58,0.448,13,27,0.481,16,23,0.696,107
1112,2020/12/23,WAS,@,PHI,L 107-113,240,39,85,0.459,26,58,0.448,13,27,0.481,16,23,0.696,107,41,87,0.471,33,59,0.559,8,28,0.286,23,30,0.767,113
1113,2020/12/23,DAL,@,PHO,L 102-106,240,36,85,0.424,27,48,0.563,9,37,0.243,21,26,0.808,102,38,79,0.481,27,49,0.551,11,30,0.367,19,27,0.704,106
1114,2020/12/23,PHO,,DAL,W 106-102,240,38,79,0.481,27,49,0.551,11,30,0.367,19,27,0.704,106,36,85,0.424,27,48,0.563,9,37,0.243,21,26,0.808,102
1115,2020/12/23,POR,,UTA,L 100-120,240,37,92,0.402,25,59,0.424,12,33,0.364,14,17,0.824,100,43,94,0.457,24,44,0.545,19,50,0.38,15,19,0.789,120
1116,2020/12/23,UTA,@,POR,W 120-100,240,43,94,0.457,24,44,0.545,19,50,0.38,15,19,0.789,120,37,92,0.402,25,59,0.424,12,33,0.364,14,17,0.824,100
1117,2020/12/23,NOP,@,TOR,W 113-99,240,42,80,0.525,23,38,0.605,19,42,0.452,10,20,0.5,113,38,89,0.427,24,43,0.558,14,46,0.304,9,12,0.75,99
1118,2020/12/23,TOR,,NOP,L 99-113,240,38,89,0.427,24,43,0.558,14,46,0.304,9,12,0.75,99,42,80,0.525,23,38,0.605,19,42,0.452,10,20,0.5,113
1119,2020/12/22,BRK,,GSW,W 125-99,240,42,92,0.457,27,57,0.474,15,35,0.429,26,32,0.813,125,37,99,0.374,27,66,0.409,10,33,0.303,15,23,0.652,99
1120,2020/12/22,GSW,@,BRK,L 99-125,240,37,99,0.374,27,66,0.409,10,33,0.303,15,23,0.652,99,42,92,0.457,27,57,0.474,15,35,0.429,26,32,0.813,125
1121,2020/12/22,LAC,@,LAL,W 116-109,240,44,93,0.473,30,53,0.566,14,40,0.35,14,19,0.737,116,38,81,0.469,29,52,0.558,9,29,0.31,24,31,0.774,109
1122,2020/12/22,LAL,,LAC,L 109-116,240,38,81,0.469,29,52,0.558,9,29,0.31,24,31,0.774,109,44,93,0.473,30,53,0.566,14,40,0.35,14,19,0.737,116
1123,2020/8/14,HOU,,PHI,L 96-134,240,35,80,0.438,23,32,0.719,12,48,0.25,14,16,0.875,96,49,87,0.563,31,49,0.633,18,38,0.474,18,22,0.818,134
1124,2020/8/14,PHI,@,HOU,W 134-96,240,49,87,0.563,31,49,0.633,18,38,0.474,18,22,0.818,134,35,80,0.438,23,32,0.719,12,48,0.25,14,16,0.875,96
1125,2020/8/14,IND,,MIA,W 109-92,240,43,89,0.483,28,51,0.549,15,38,0.395,8,11,0.727,109,31,87,0.356,21,49,0.429,10,38,0.263,20,27,0.741,92
1126,2020/8/14,MIA,@,IND,L 92-109,240,31,87,0.356,21,49,0.429,10,38,0.263,20,27,0.741,92,43,89,0.483,28,51,0.549,15,38,0.395,8,11,0.727,109
1127,2020/8/14,LAC,,OKC,W 107-103 (OT),265,34,85,0.4,22,48,0.458,12,37,0.324,27,39,0.692,107,38,106,0.358,24,62,0.387,14,44,0.318,13,22,0.591,103
1128,2020/8/14,OKC,@,LAC,L 103-107 (OT),265,38,106,0.358,24,62,0.387,14,44,0.318,13,22,0.591,103,34,85,0.4,22,48,0.458,12,37,0.324,27,39,0.692,107
1129,2020/8/14,DEN,@,TOR,L 109-117,240,36,87,0.414,20,49,0.408,16,38,0.421,21,23,0.913,109,45,90,0.5,27,55,0.491,18,35,0.514,9,14,0.643,117
1130,2020/8/14,TOR,,DEN,W 117-109,240,45,90,0.5,27,55,0.491,18,35,0.514,9,14,0.643,117,36,87,0.414,20,49,0.408,16,38,0.421,21,23,0.913,109
1131,2020/8/13,BOS,,WAS,L 90-96,240,35,88,0.398,27,53,0.509,8,35,0.229,12,14,0.857,90,34,88,0.386,24,62,0.387,10,26,0.385,18,24,0.75,96
1132,2020/8/13,WAS,@,BOS,W 96-90,240,34,88,0.386,24,62,0.387,10,26,0.385,18,24,0.75,96,35,88,0.398,27,53,0.509,8,35,0.229,12,14,0.857,90
1133,2020/8/13,BRK,,POR,L 133-134,240,53,96,0.552,39,63,0.619,14,33,0.424,13,19,0.684,133,50,104,0.481,37,65,0.569,13,39,0.333,21,24,0.875,134
1134,2020/8/13,POR,@,BRK,W 134-133,240,50,104,0.481,37,65,0.569,13,39,0.333,21,24,0.875,134,53,96,0.552,39,63,0.619,14,33,0.424,13,19,0.684,133
1135,2020/8/13,LAL,,SAC,L 122-136,240,48,98,0.49,33,63,0.524,15,35,0.429,11,15,0.733,122,54,95,0.568,33,48,0.688,21,47,0.447,7,12,0.583,136
1136,2020/8/13,SAC,@,LAL,W 136-122,240,54,95,0.568,33,48,0.688,21,47,0.447,7,12,0.583,136,48,98,0.49,33,63,0.524,15,35,0.429,11,15,0.733,122
1137,2020/8/13,MEM,,MIL,W 119-106,240,45,90,0.5,32,57,0.561,13,33,0.394,16,23,0.696,119,39,98,0.398,26,57,0.456,13,41,0.317,15,23,0.652,106
1138,2020/8/13,MIL,@,MEM,L 106-119,240,39,98,0.398,26,57,0.456,13,41,0.317,15,23,0.652,106,45,90,0.5,32,57,0.561,13,33,0.394,16,23,0.696,119
1139,2020/8/13,NOP,@,ORL,L 127-133,240,48,87,0.552,38,53,0.717,10,34,0.294,21,27,0.778,127,48,84,0.571,33,56,0.589,15,28,0.536,22,30,0.733,133
1140,2020/8/13,ORL,,NOP,W 133-127,240,48,84,0.571,33,56,0.589,15,28,0.536,22,30,0.733,133,48,87,0.552,38,53,0.717,10,34,0.294,21,27,0.778,127
1141,2020/8/13,DAL,@,PHO,L 102-128,240,39,89,0.438,31,63,0.492,8,26,0.308,16,19,0.842,102,49,89,0.551,35,55,0.636,14,34,0.412,16,21,0.762,128
1142,2020/8/13,PHO,,DAL,W 128-102,240,49,89,0.551,35,55,0.636,14,34,0.412,16,21,0.762,128,39,89,0.438,31,63,0.492,8,26,0.308,16,19,0.842,102
1143,2020/8/13,SAS,@,UTA,L 112-118,240,39,79,0.494,29,59,0.492,10,20,0.5,24,36,0.667,112,47,101,0.465,32,55,0.582,15,46,0.326,9,10,0.9,118
1144,2020/8/13,UTA,,SAS,W 118-112,240,47,101,0.465,32,55,0.582,15,46,0.326,9,10,0.9,118,39,79,0.494,29,59,0.492,10,20,0.5,24,36,0.667,112
1145,2020/8/12,DEN,,LAC,L 111-124,240,43,87,0.494,30,52,0.577,13,35,0.371,12,19,0.632,111,46,85,0.541,32,48,0.667,14,37,0.378,18,23,0.783,124
1146,2020/8/12,LAC,@,DEN,W 124-111,240,46,85,0.541,32,48,0.667,14,37,0.378,18,23,0.783,124,43,87,0.494,30,52,0.577,13,35,0.371,12,19,0.632,111
1147,2020/8/12,HOU,,IND,L 104-108,240,32,86,0.372,16,29,0.552,16,57,0.281,24,28,0.857,104,40,100,0.4,29,69,0.42,11,31,0.355,17,22,0.773,108
1148,2020/8/12,IND,@,HOU,W 108-104,240,40,100,0.4,29,69,0.42,11,31,0.355,17,22,0.773,108,32,86,0.372,16,29,0.552,16,57,0.281,24,28,0.857,104
1149,2020/8/12,MIA,@,OKC,L 115-116,240,42,86,0.488,28,44,0.636,14,42,0.333,17,20,0.85,115,39,89,0.438,23,47,0.489,16,42,0.381,22,27,0.815,116
1150,2020/8/12,OKC,,MIA,W 116-115,240,39,89,0.438,23,47,0.489,16,42,0.381,22,27,0.815,116,42,86,0.488,28,44,0.636,14,42,0.333,17,20,0.85,115
1151,2020/8/12,PHI,,TOR,L 121-125,240,39,84,0.464,22,44,0.5,17,40,0.425,26,33,0.788,121,40,90,0.444,22,47,0.468,18,43,0.419,27,40,0.675,125
1152,2020/8/12,TOR,@,PHI,W 125-121,240,40,90,0.444,22,47,0.468,18,43,0.419,27,40,0.675,125,39,84,0.464,22,44,0.5,17,40,0.425,26,33,0.788,121
1153,2020/8/11,DAL,,POR,L 131-134,240,42,81,0.519,22,37,0.595,20,44,0.455,27,33,0.818,131,46,98,0.469,31,60,0.517,15,38,0.395,27,29,0.931,134
1154,2020/8/11,POR,@,DAL,W 134-131,240,46,98,0.469,31,60,0.517,15,38,0.395,27,29,0.931,134,42,81,0.519,22,37,0.595,20,44,0.455,27,33,0.818,131
