Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
501,2021/2/3,CLE,,LAC,L 99-121,240,41,92,0.446,37,82,0.451,4,10,0.4,13,17,0.765,99,44,79,0.557,24,45,0.533,20,34,0.588,13,17,0.765,121
502,2021/2/3,LAC,@,CLE,W 121-99,240,44,79,0.557,24,45,0.533,20,34,0.588,13,17,0.765,121,41,92,0.446,37,82,0.451,4,10,0.4,13,17,0.765,99
503,2021/2/3,MIA,,WAS,L 100-103,240,36,83,0.434,24,48,0.5,12,35,0.343,16,22,0.727,100,35,84,0.417,20,47,0.426,15,37,0.405,18,25,0.72,103
504,2021/2/3,WAS,@,MIA,W 103-100,240,35,84,0.417,20,47,0.426,15,37,0.405,18,25,0.72,103,36,83,0.434,24,48,0.5,12,35,0.343,16,22,0.727,100
505,2021/2/3,IND,@,MIL,L 110-130,240,43,95,0.453,32,61,0.525,11,34,0.324,13,15,0.867,110,48,102,0.471,27,54,0.5,21,48,0.438,13,14,0.929,130
506,2021/2/3,MIL,,IND,W 130-110,240,48,102,0.471,27,54,0.5,21,48,0.438,13,14,0.929,130,43,95,0.453,32,61,0.525,11,34,0.324,13,15,0.867,110
507,2021/2/3,NOP,,PHO,W 123-101,240,46,90,0.511,32,57,0.561,14,33,0.424,17,21,0.81,123,38,82,0.463,30,47,0.638,8,35,0.229,17,20,0.85,101
508,2021/2/3,PHO,@,NOP,L 101-123,240,38,82,0.463,30,47,0.638,8,35,0.229,17,20,0.85,101,46,90,0.511,32,57,0.561,14,33,0.424,17,21,0.81,123
509,2021/2/3,HOU,@,OKC,L 87-104,240,33,86,0.384,21,40,0.525,12,46,0.261,9,13,0.692,87,36,83,0.434,26,50,0.52,10,33,0.303,22,26,0.846,104
510,2021/2/3,OKC,,HOU,W 104-87,240,36,83,0.434,26,50,0.52,10,33,0.303,22,26,0.846,104,33,86,0.384,21,40,0.525,12,46,0.261,9,13,0.692,87
511,2021/2/3,BOS,@,SAC,L 111-116,240,39,86,0.453,28,53,0.528,11,33,0.333,22,29,0.759,111,42,92,0.457,29,55,0.527,13,37,0.351,19,23,0.826,116
512,2021/2/3,SAC,,BOS,W 116-111,240,42,92,0.457,29,55,0.527,13,37,0.351,19,23,0.826,116,39,86,0.453,28,53,0.528,11,33,0.333,22,29,0.759,111
513,2021/2/3,MIN,@,SAS,L 108-111,240,43,94,0.457,30,61,0.492,13,33,0.394,9,11,0.818,108,43,96,0.448,36,70,0.514,7,26,0.269,18,24,0.75,111
514,2021/2/3,SAS,,MIN,W 111-108,240,43,96,0.448,36,70,0.514,7,26,0.269,18,24,0.75,111,43,94,0.457,30,61,0.492,13,33,0.394,9,11,0.818,108
515,2021/2/2,BRK,,LAC,W 124-120,240,45,79,0.57,32,48,0.667,13,31,0.419,21,26,0.808,124,45,99,0.455,30,63,0.476,15,36,0.417,15,17,0.882,120
516,2021/2/2,LAC,@,BRK,L 120-124,240,45,99,0.455,30,63,0.476,15,36,0.417,15,17,0.882,120,45,79,0.57,32,48,0.667,13,31,0.419,21,26,0.808,124
517,2021/2/2,BOS,@,GSW,W 111-107,240,39,84,0.464,26,50,0.52,13,34,0.382,20,27,0.741,111,38,83,0.458,23,46,0.5,15,37,0.405,16,23,0.696,107
518,2021/2/2,GSW,,BOS,L 107-111,240,38,83,0.458,23,46,0.5,15,37,0.405,16,23,0.696,107,39,84,0.464,26,50,0.52,13,34,0.382,20,27,0.741,111
519,2021/2/2,IND,,MEM,W 134-116,240,49,82,0.598,33,53,0.623,16,29,0.552,20,29,0.69,134,42,93,0.452,33,68,0.485,9,25,0.36,23,24,0.958,116
520,2021/2/2,MEM,@,IND,L 116-134,240,42,93,0.452,33,68,0.485,9,25,0.36,23,24,0.958,116,49,82,0.598,33,53,0.623,16,29,0.552,20,29,0.69,134
521,2021/2/2,ORL,,TOR,L 108-123,240,41,89,0.461,27,51,0.529,14,38,0.368,12,14,0.857,108,40,83,0.482,20,38,0.526,20,45,0.444,23,25,0.92,123
522,2021/2/2,TOR,@,ORL,W 123-108,240,40,83,0.482,20,38,0.526,20,45,0.444,23,25,0.92,123,41,89,0.461,27,51,0.529,14,38,0.368,12,14,0.857,108
523,2021/2/2,DET,@,UTA,L 105-117,240,39,93,0.419,30,66,0.455,9,27,0.333,18,20,0.9,105,38,82,0.463,22,40,0.55,16,42,0.381,25,29,0.862,117
524,2021/2/2,UTA,,DET,W 117-105,240,38,82,0.463,22,40,0.55,16,42,0.381,25,29,0.862,117,39,93,0.419,30,66,0.455,9,27,0.333,18,20,0.9,105
525,2021/2/2,POR,@,WAS,W 132-121,240,44,95,0.463,23,49,0.469,21,46,0.457,23,23,1,132,46,83,0.554,30,43,0.698,16,40,0.4,13,17,0.765,121
526,2021/2/2,WAS,,POR,L 121-132,240,46,83,0.554,30,43,0.698,16,40,0.4,13,17,0.765,121,44,95,0.463,23,49,0.469,21,46,0.457,23,23,1,132
527,2021/2/1,ATL,,LAL,L 99-107,240,37,78,0.474,26,49,0.531,11,29,0.379,14,17,0.824,99,40,77,0.519,33,54,0.611,7,23,0.304,20,24,0.833,107
528,2021/2/1,LAL,@,ATL,W 107-99,240,40,77,0.519,33,54,0.611,7,23,0.304,20,24,0.833,107,37,78,0.474,26,49,0.531,11,29,0.379,14,17,0.824,99
529,2021/2/1,CHI,,NYK,W 110-102,240,42,88,0.477,31,54,0.574,11,34,0.324,15,20,0.75,110,37,87,0.425,31,58,0.534,6,29,0.207,22,26,0.846,102
530,2021/2/1,NYK,@,CHI,L 102-110,240,37,87,0.425,31,58,0.534,6,29,0.207,22,26,0.846,102,42,88,0.477,31,54,0.574,11,34,0.324,15,20,0.75,110
531,2021/2/1,CLE,,MIN,W 100-98,240,35,84,0.417,28,62,0.452,7,22,0.318,23,31,0.742,100,40,102,0.392,29,64,0.453,11,38,0.289,7,11,0.636,98
532,2021/2/1,MIN,@,CLE,L 98-100,240,40,102,0.392,29,64,0.453,11,38,0.289,7,11,0.636,98,35,84,0.417,28,62,0.452,7,22,0.318,23,31,0.742,100
533,2021/2/1,DAL,,PHO,L 108-109,240,37,86,0.43,27,54,0.5,10,32,0.313,24,25,0.96,108,43,92,0.467,30,57,0.526,13,35,0.371,10,12,0.833,109
534,2021/2/1,PHO,@,DAL,W 109-108,240,43,92,0.467,30,57,0.526,13,35,0.371,10,12,0.833,109,37,86,0.43,27,54,0.5,10,32,0.313,24,25,0.96,108
535,2021/2/1,CHO,@,MIA,W 129-121 (OT),265,43,95,0.453,22,54,0.407,21,41,0.512,22,26,0.846,129,43,91,0.473,24,45,0.533,19,46,0.413,16,25,0.64,121
536,2021/2/1,MIA,,CHO,L 121-129 (OT),265,43,91,0.473,24,45,0.533,19,46,0.413,16,25,0.64,121,43,95,0.453,22,54,0.407,21,41,0.512,22,26,0.846,129
537,2021/2/1,MIL,,POR,W 134-106,240,53,96,0.552,32,54,0.593,21,42,0.5,7,12,0.583,134,39,104,0.375,24,62,0.387,15,42,0.357,13,13,1,106
538,2021/2/1,POR,@,MIL,L 106-134,240,39,104,0.375,24,62,0.387,15,42,0.357,13,13,1,106,53,96,0.552,32,54,0.593,21,42,0.5,7,12,0.583,134
539,2021/2/1,NOP,,SAC,L 109-118,240,40,101,0.396,31,71,0.437,9,30,0.3,20,24,0.833,109,42,88,0.477,28,45,0.622,14,43,0.326,20,26,0.769,118
540,2021/2/1,SAC,@,NOP,W 118-109,240,42,88,0.477,28,45,0.622,14,43,0.326,20,26,0.769,118,40,101,0.396,31,71,0.437,9,30,0.3,20,24,0.833,109
541,2021/2/1,HOU,@,OKC,W 136-106,240,49,102,0.48,21,50,0.42,28,52,0.538,10,11,0.909,136,39,89,0.438,26,55,0.473,13,34,0.382,15,19,0.789,106
542,2021/2/1,OKC,,HOU,L 106-136,240,39,89,0.438,26,55,0.473,13,34,0.382,15,19,0.789,106,49,102,0.48,21,50,0.42,28,52,0.538,10,11,0.909,136
543,2021/2/1,MEM,@,SAS,W 133-102,240,52,93,0.559,37,63,0.587,15,30,0.5,14,18,0.778,133,37,89,0.416,24,52,0.462,13,37,0.351,15,22,0.682,102
544,2021/2/1,SAS,,MEM,L 102-133,240,37,89,0.416,24,52,0.462,13,37,0.351,15,22,0.682,102,52,93,0.559,37,63,0.587,15,30,0.5,14,18,0.778,133
