,FG%.1_AVG,PTS.1_AVG,+/-_players_AVG,DRtg_players_AVG,winning_rate,y
156,1.2094780478735765,-0.026388687748621156,0.340496541238777,0.6746065201086807,-0.085995086,1
1134,0.4305409928347164,0.04106074559591415,-0.9353644858016894,1.337130460033066,-0.2,0
14,-0.2493786399534411,1.5923977125201825,-1.3910527968634294,1.8062851228941479,-0.184090909,0
739,-1.6257208092382034,0.2568989322984184,-1.3080890969053347,-1.040422362114279,-0.090643275,1
594,0.05757536902373683,-0.9976605279099006,0.9731620784920811,-0.95566060154242,-0.202511774,1
488,-0.4441129037131561,-0.21524710111331355,1.5836357978136248,-0.3640621326304603,0.116835017,0
687,0.5460613187938661,1.8082358992226883,0.19441072876670143,0.958890719188357,0.027906977,0
32,-1.7544434581641166,-1.0516200745855302,1.8204560470379265,-0.677563063201372,0.0574712639999999,1
917,-0.43751174222977596,-1.469806561321636,-0.14258375977802012,-0.4930771035287939,0.0,0
970,-0.21967341327823034,0.10851017894044564,0.39380442675796623,-0.17353055111385374,-0.0441176469999999,1
568,-1.246154023943847,-1.8475233880510231,0.4313015423376534,-1.3197607037902648,-0.294418605,0
832,-0.3781012888793544,-1.2539683746191281,0.26796630781191194,-0.9191463125293766,-0.0198412699999999,1
396,1.3778076656997675,0.9988426990882877,0.1581103295688839,0.558811995226942,0.004166667,1
824,0.258910794266832,0.6615955323656206,-0.31322890128961683,-0.16666109207229574,0.103448276,0
968,-0.29558677033709896,-0.9706807545720868,1.749988025261162,-1.335153300721063,-0.158088235,0
514,-0.5266274222554049,-0.5794740411737943,0.8892680789184367,-1.0309688993019346,-0.028301887,0
822,-0.8863907230996275,-0.09383812109315458,-0.5190497299636451,-0.3333702780580193,-0.1428571429999999,1
825,0.5592636417606298,0.22991915896060652,-0.5064374043304126,0.15553951606076938,-0.3419354840000001,0
766,-0.5530320681889288,-0.06685834775534083,0.4523484867847539,-0.21610469150099326,-0.237254902,1
193,-1.223049958752013,-1.0246403012477143,1.0668314223691764,-1.0648961165756925,-0.111907271,1
1132,-0.668552394148082,-1.5642357680039818,0.5237338471417057,-1.3017911740255954,0.4,1
662,0.03777188457359632,0.10851017894044564,0.8485739592396857,-0.648970298064803,-0.067239636,1
389,-1.3814778343531404,-1.4698065613216345,1.1815131486236503,-1.507364333048889,0.022739292,1
304,0.1103846608907782,1.7947460125537806,-0.03824477405147861,0.7964841983157283,0.0827292109999999,0
459,0.29851776316710976,-0.21524710111331355,-0.7199411235875677,-0.048847639388685894,-0.073446328,0
558,-2.2528311501593223,-2.279199761456037,1.1823498422362373,-1.7272333779217566,-0.0094268469999999,1
776,0.6252752565944315,-0.5794740411737963,-1.0246602702323784,-0.5752812156401931,-0.057142857,0
820,-0.1272571525109046,-0.5390043811670746,-0.9431813052863258,-0.5166651647040466,-0.266666667,0
43,-1.8171544922562315,-2.0498716880846235,1.0164195619056358,-1.629963363696312,0.2539215679999999,1
719,-0.01173682655175165,-0.09383812109315458,0.2760135419933133,0.0035421740152402482,0.0,0
972,2.0247214910710274,0.8639438323992209,0.08697122515109829,0.7709695405809759,0.1875,1
165,0.7176915173617539,0.47273711900092646,-0.75633944899522,-0.27336024450272634,-0.245286725,0
1008,0.5691653839857,0.4322674589942049,-0.4926470833500048,-0.2247516146143812,-0.5,1
849,0.7605990670037249,0.6885753057034325,-1.8410844267152147,0.643025918890959,-0.5277777779999999,0
