,FG_AVG,FGA_AVG,FG%_AVG,2P_AVG,2P%_AVG,3P_AVG,3PA_AVG,FT_AVG,PTS_AVG,FG.1_AVG,FG%.1_AVG,2P%.1_AVG,3P.1_AVG,3P%.1_AVG,FT%.1_AVG,PTS.1_AVG,FGA_players_AVG,FG%_players_AVG,3P_players_AVG,3PA_players_AVG,FT_players_AVG,FT%_players_AVG,DRB_players_AVG,TRB_players_AVG,AST_players_AVG,STL_players_AVG,BLK_players_AVG,TOV_players_AVG,PTS_players_AVG,+/-_players_AVG,TS%_players_AVG,3PAr_players_AVG,FTr_players_AVG,ORB%_players_AVG,TRB%_players_AVG,AST%_players_AVG,STL%_players_AVG,BLK%_players_AVG,TOV%_players_AVG,USG%_players_AVG,ORtg_players_AVG,DRtg_players_AVG,BPM_players_AVG,A/T_AVG,FG_AVG_AVG,y
156,3.3999999999999986,0.7000000000000028,0.0335999999999999,-2.700000000000003,0.0101999999999999,6.1,6.600000000000001,-2.0,10.900000000000004,1.6999999999999955,0.0022999999999999,-0.0016999999999999,-0.4000000000000004,0.0216,-0.0446,9.099999999999994,0.0485416599999997,0.047738555,0.7350000000000001,0.7762569440000004,-0.3859027780000001,-0.1347421109999999,-0.2943750000000005,-0.4549791670000003,0.562777777,-0.2496458330000002,0.064604167,-0.2504791669999999,1.0368194499999994,1.314486111,0.068497423,0.06588084,-0.0597576659999999,-0.2558798610000004,-0.8138354159999999,1.633675000000002,-0.3475770840000001,0.1423048609999999,-1.4776749960000009,-0.2066492999999987,12.250930499999996,8.610076399999997,0.8057729170000001,0.6934253020000001,0.9595763900000024,1
1134,-1.1000000000000014,0.2000000000000028,-0.0127999999999999,-4.100000000000001,0.0121999999999999,3.0,8.5,0.5,1.2999999999999972,-3.200000000000003,-0.0381,-0.0863,-4.4,-0.0144,0.002,-8.800000000000011,-0.04703473,-0.0128400279999999,0.3279513889999999,0.956222223,0.0739722229999997,0.0671579089999999,0.6328125000000004,0.5041111110000003,0.0327777780000002,0.1558819449999999,0.0655694439999999,0.5104652779999999,0.3031458300000001,6.851930555,0.0145292289999999,0.1252032629999999,-0.049575833,-0.5273812499999995,0.5431625000000011,1.38652014,0.2589958330000002,-0.4116819450000002,4.012338892000002,-0.0057208400000021,-4.9337778000000165,-14.632027699999997,-0.066092362,-0.6833793610000001,1.061486119999998,1
14,2.3999999999999986,9.600000000000009,-0.0198999999999999,4.400000000000002,0.0054999999999999,-2.0,1.2999999999999972,-5.200000000000001,-2.4000000000000057,0.3000000000000042,-0.0116,-0.0039,-0.7999999999999989,-0.0258999999999999,0.0385999999999999,3.1999999999999886,1.0960347300000013,-0.024616868,-0.283513889,-0.0144861110000009,-0.6490416669999999,-0.0712691039999999,0.3968124999999998,0.183270834,0.1672361109999993,0.236506944,-0.0501388889999999,-0.0206666659999998,-0.3124583399999992,-4.2808263890000005,-0.0438613329999999,-0.042038715,-0.12415382,-1.1610673609999993,-0.3431368050000003,-0.3863680499999997,0.3820409720000002,-0.3111368060000004,-0.2086881999999992,-0.0036840300000022,-12.700208300000002,-5.862722199999992,-0.234227778,0.2531545509999997,0.2244166700000001,1
739,-2.3999999999999986,0.2000000000000028,-0.0262999999999999,0.0,-0.0115,-2.4000000000000004,-1.5,1.7999999999999972,-5.400000000000006,-0.7999999999999972,-0.0373999999999999,-0.0026999999999999,-0.6000000000000014,-0.0666,0.0565,-0.9000000000000057,-0.53123611,-0.0244007429999999,-0.404416667,-0.496326389,0.1037777779999995,0.004238854,0.0902361109999994,0.0859930559999995,0.0660694449999996,-0.016805556,0.1338680559999999,0.1564027780000001,-1.3202361099999995,-3.6229166670000006,-0.0249428269999999,-0.019489091,0.0405200909999999,-0.0997215279999994,-0.2184437500000005,1.6361861100000006,0.1602305559999999,0.7773944439999998,1.9414666700000005,-0.2060548599999982,-9.1111181,-5.467618099999997,-0.24489375,-0.1622060669999998,-1.0511111200000016,0
594,1.2000000000000028,-2.0,0.0246,0.3000000000000007,0.0579999999999999,0.9000000000000004,3.0,-2.5,0.8000000000000114,5.600000000000001,0.0423,-0.0345,-3.9000000000000017,0.0423999999999999,-0.0534,5.200000000000003,-0.1924583299999991,0.008011347,0.0742152779999998,0.326854167,-0.1392569449999998,-0.021109333,-0.5649583330000003,-0.9175208340000004,0.3040972230000003,-0.1428263889999999,0.024923611,-0.1071597219999998,0.3726666699999992,-1.2321875,0.014305611,0.0352314169999999,-0.053187514,-1.0562388889999994,-1.7921750029999988,1.0780166699999985,-0.3796305550000001,-1.3972326389999996,-2.005774300000001,-0.0023111100000008,4.265979100000024,8.713083300000008,-0.8424847230000001,0.3387464839999996,-0.3586597199999985,1
488,-4.200000000000003,-3.6000000000000085,-0.0325999999999999,-0.0999999999999978,0.0008999999999999,-4.1,-3.3999999999999986,-3.5,-16.0,-4.0,-0.0382,-0.0251,-0.200000000000001,-0.0313999999999999,-0.0811999999999999,-9.100000000000009,-0.4301041699999999,-0.041021111,-0.5092569439999999,-0.3550208340000003,-0.5347013890000003,-0.025909041,0.3753124999999997,0.4560069440000003,-0.4202083330000001,-0.2341944439999999,-0.202965278,0.049416667,-2.22286111,-4.809291667,-0.062378035,-0.011548278,0.011765785,0.6072569439999995,0.561275693999999,-1.0156159700000007,-0.3104680549999998,-0.3183930560000003,1.2561395799999993,0.0081124999999993,-11.512618099999983,-1.7089514000000037,-0.131078472,-0.4495833609999997,-2.62422222,1
687,-2.299999999999997,0.4000000000000057,-0.0322999999999999,-0.1000000000000014,0.0112999999999999,-2.2,1.1000000000000014,-0.3000000000000007,-7.1000000000000085,-3.299999999999997,-0.0308999999999999,-0.0558,2.6,0.0148999999999999,0.0641,2.299999999999997,-0.9364861100000006,-0.0604138889999999,-0.4289236110000001,-0.3910069439999989,-0.298284722,0.021756125,0.1980138889999998,-0.0841875000000005,-0.8893055559999996,-0.399923611,-0.0724513889999999,-0.4771875000000001,-1.98609722,-5.974395833000001,-0.0665844999999999,0.026221035,-0.02477625,-1.1886791669999996,-0.3869124970000009,-1.8843694500000008,-0.5084347229999999,0.0450256940000002,-3.17902361,-0.6308861099999987,-9.089680599999994,-2.0226110999999776,-0.7375597219999999,-0.1297799460000002,-3.43196528,0
32,6.799999999999998,4.099999999999993,0.0581999999999999,8.0,0.0691,-1.1999999999999993,-4.100000000000001,2.1000000000000014,14.5,5.399999999999999,0.0367,0.0458999999999999,-2.3000000000000007,-0.0075,-0.1205,7.299999999999998,0.4261180499999994,0.0659921109999999,-0.0901944449999998,-0.4568819440000009,0.263041667,0.043400361,0.4003333329999994,0.2329861109999997,0.2342638889999997,0.016229166,-0.058111111,-0.1416874999999999,1.7802499999999988,4.892590278,0.0622228339999999,-0.072635716,-0.0461058959999999,0.0443861110000005,0.911702087,-1.18827222,-0.0698020829999996,-0.4871520829999998,-1.1302770800000008,0.0066479199999989,15.14084720000001,0.6245069000000001,0.624967361,0.4589669340000002,2.2056180500000018,0
917,4.100000000000001,9.5,0.0011999999999999,3.1000000000000014,-0.0107999999999999,1.0,2.0,-5.600000000000001,3.5999999999999943,0.5,-0.0085,-0.0134999999999999,0.200000000000001,-0.0063999999999999,-0.0154999999999999,0.7999999999999972,0.3848055600000002,0.0126735139999999,-0.0456041659999999,-0.279277778,-0.9090416659999998,-0.0479253259999999,0.1520972219999996,0.3060902769999991,0.6170624999999994,-0.0897986119999999,-0.0157222219999999,-0.6017291660000001,-0.5228541599999996,1.7639097220000002,-0.0004448129999999,-0.0208420829999999,-0.0571868539999999,0.2147847230000001,0.3615604179999981,2.69197222,-0.1183145829999996,0.0047624999999997,-3.7340569440000007,-0.0003486199999969,2.4970624999999984,-1.6024723000000023,0.300236806,1.496510749,0.2947777800000004,1
970,0.1000000000000014,-13.100000000000009,0.064,3.0,0.0935999999999999,-2.9000000000000004,-9.299999999999995,0.3999999999999986,-2.299999999999997,-7.699999999999997,-0.0443,-0.0224999999999999,-2.6,-0.0723,0.0544,-17.700000000000006,-0.8782777800000012,0.082275431,-0.296548611,-0.8107361109999998,0.0941111109999996,0.006101055,0.1052222219999992,-0.0202638890000006,0.337527777,0.018409722,-0.314368056,0.2357291670000003,0.2976180499999987,9.413875,0.0607932569999999,-0.0360517639999999,0.110881292,0.3530076389999999,0.6698625000000007,0.4009333399999999,0.098210417,-0.826039583,2.2044583400000004,0.0020027700000007,8.303819399999995,-6.920625000000001,1.094563195,0.7902884919999997,0.3189236199999996,1
