,Unnamed: 0,Date,Tm,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1,FG_AVG,FGA_AVG,FG%_AVG,2P_AVG,2PA_AVG,2P%_AVG,3P_AVG,3PA_AVG,3P%_AVG,FT_AVG,FTA_AVG,FT%_AVG,PTS_AVG,FG_AVG.1,FGA_AVG.1,FG%_AVG.1,2P_AVG.1,2PA_AVG.1,2P%_AVG.1,3P_AVG.1,3PA_AVG.1,3P%_AVG.1,FT_AVG.1,FTA_AVG.1,FT%_AVG.1,PTS_AVG.1
0,-1,2021/3/27,LAC,PHI,W 122-112,0,6,8,0.02300000000000002,5,8,0.007000000000000117,1,0,0.03799999999999998,-3,-6,0.051000000000000045,10,-6,-8,-0.02300000000000002,-5,-8,-0.007000000000000117,-1,0,-0.03799999999999998,3,6,-0.051000000000000045,-10,-3.299999999999997,-3.799999999999997,-0.016500000000000015,-6.699999999999999,-10.0,-0.025699999999999945,3.4000000000000004,6.199999999999999,0.019799999999999984,1.0,-1.6999999999999993,0.11309999999999998,-2.200000000000003,1.3999999999999986,-2.6000000000000085,0.030200000000000005,-0.3999999999999986,-5.399999999999999,0.042599999999999916,1.8000000000000007,2.8000000000000007,0.03160000000000002,-1.0,-3.6999999999999993,0.09050000000000002,3.5999999999999943
1,-1,2021/3/27,MIL,NYK,L 96-102,0,-4,-6,-0.016000000000000014,-2,2,-0.059,-2,-8,0.025000000000000022,4,8,-0.125,-6,4,6,0.016000000000000014,2,-2,0.059,2,8,-0.025000000000000022,-4,-8,0.125,6,5.800000000000004,5.299999999999997,0.0373,3.0,-1.5,0.06829999999999997,2.8000000000000007,6.800000000000001,0.004699999999999982,-0.5,-2.400000000000002,0.06979999999999986,13.900000000000006,4.100000000000001,14.200000000000003,-0.027400000000000035,1.7000000000000028,6.100000000000001,-0.034399999999999986,2.4000000000000004,8.099999999999998,-0.015200000000000047,-3.1999999999999993,-6.299999999999999,0.08749999999999991,7.3999999999999915
2,-1,2021/3/27,HOU,MIN,W 129-107,0,14,7,0.11899999999999994,9,8,0.09299999999999997,5,-1,0.137,-11,-15,0.06000000000000005,22,-14,-7,-0.11899999999999994,-9,-8,-0.09299999999999997,-5,1,-0.137,11,15,-0.06000000000000005,-22,-3.1999999999999957,0.7000000000000028,-0.0388,-3.6000000000000014,-2.799999999999997,-0.04610000000000003,0.40000000000000036,3.5,-0.020899999999999974,-3.5999999999999996,-2.8999999999999986,-0.05630000000000002,-9.599999999999994,-2.3999999999999986,-2.0,-0.014999999999999958,-1.7000000000000028,-2.6000000000000014,0.0014999999999999458,-0.7000000000000011,0.6000000000000014,-0.026900000000000035,2.3000000000000007,2.1999999999999993,0.024900000000000033,-3.200000000000003
3,-1,2021/3/27,DAL,NOP,L 103-112,0,-5,2,-0.07300000000000001,-6,-3,-0.08099999999999996,1,5,-0.023000000000000076,0,-5,0.137,-9,5,-2,0.07300000000000001,6,3,0.08099999999999996,-1,-5,0.023000000000000076,0,5,-0.137,9,-1.7999999999999972,-2.0,-0.01050000000000001,-6.900000000000002,-11.0,-0.005600000000000049,5.100000000000001,8.999999999999996,0.05429999999999996,-5.100000000000001,-7.0,0.015899999999999914,-3.6000000000000085,-2.6000000000000014,1.2000000000000028,-0.036099999999999965,-2.6000000000000014,-0.7000000000000028,-0.04980000000000001,0.0,1.9000000000000057,-0.019000000000000017,-3.5999999999999996,-2.8000000000000007,-0.0676000000000001,-8.799999999999997
4,-1,2021/3/27,BOS,OKC,W 111-94,0,10,13,0.04799999999999999,9,13,0.041000000000000036,1,0,0.027000000000000024,-4,-10,0.16099999999999992,17,-10,-13,-0.04799999999999999,-9,-13,-0.041000000000000036,-1,0,-0.027000000000000024,4,10,-0.16099999999999992,-17,5.100000000000001,2.6000000000000085,0.043200000000000016,1.8999999999999986,-2.299999999999997,0.05469999999999997,3.1999999999999993,4.899999999999999,0.031399999999999983,-1.9000000000000004,-1.6999999999999993,0.01090000000000002,11.5,-0.4000000000000057,0.5,-0.006199999999999983,-4.400000000000002,-4.799999999999997,-0.037800000000000056,4.0,5.300000000000004,0.05569999999999997,1.6999999999999993,2.5,-0.04060000000000008,4.900000000000006
5,-1,2021/3/27,CLE,SAC,L 98-100,0,-4,4,-0.07300000000000001,-6,8,-0.19700000000000006,2,-4,0.11300000000000002,4,9,-0.1339999999999999,-2,4,-4,0.07300000000000001,6,-8,0.19700000000000006,-2,4,-0.11300000000000002,-4,-9,0.1339999999999999,2,-6.899999999999999,-5.5,-0.04830000000000001,-4.700000000000003,-1.6999999999999957,-0.06609999999999994,-2.1999999999999993,-3.8000000000000007,-0.03420000000000001,0.10000000000000142,0.8000000000000007,-0.005400000000000071,-15.900000000000006,-2.1000000000000014,-4.299999999999997,-0.0015000000000000013,-1.1000000000000014,-3.5,0.01079999999999992,-1.0,-0.7999999999999972,-0.019199999999999995,-0.8000000000000007,-0.8000000000000007,-0.023800000000000043,-6.0
6,-1,2021/3/27,CHI,SAS,L 104-120,0,-5,10,-0.10899999999999999,-3,1,-0.05899999999999994,-2,9,-0.16500000000000004,-4,-10,0.135,-16,5,-10,0.10899999999999999,3,-1,0.05899999999999994,2,-9,0.16500000000000004,4,10,-0.135,16,1.8999999999999986,4.200000000000003,9.999999999998899e-05,-1.1000000000000014,-2.1000000000000014,-0.0023999999999999577,3.0,6.300000000000001,0.028400000000000036,-2.3000000000000007,-3.8000000000000007,0.06710000000000005,4.5,0.9000000000000057,1.7999999999999972,0.0019000000000000128,2.700000000000003,3.3999999999999986,0.014000000000000012,-1.8000000000000007,-1.5999999999999979,-0.04360000000000003,0.9000000000000004,1.6999999999999993,-0.016900000000000026,0.9000000000000057
7,-1,2021/3/27,MEM,UTA,L 110-126,0,-7,5,-0.09799999999999998,3,17,-0.10499999999999998,-10,-12,-0.14900000000000002,8,10,0.017000000000000015,-16,7,-5,0.09799999999999998,-3,-17,0.10499999999999998,10,12,0.14900000000000002,-8,-10,-0.017000000000000015,16,1.0,2.9000000000000057,-0.006000000000000005,8.2,16.400000000000006,-0.01319999999999999,-7.199999999999999,-13.5,-0.0595,-2.200000000000003,-1.6000000000000014,-0.03370000000000006,-7.400000000000006,-3.3999999999999986,-4.700000000000003,-0.014000000000000012,-5.800000000000001,-10.900000000000006,0.0019000000000000128,2.3999999999999986,6.199999999999996,-0.011899999999999966,2.3999999999999986,2.8999999999999986,-0.0015999999999999348,-2.0
8,-1,2021/3/27,DET,WAS,L 92-106,0,-11,-6,-0.09600000000000003,-12,-14,-0.08899999999999997,1,8,-0.08400000000000002,7,10,-0.15799999999999992,-14,11,6,0.09600000000000003,12,14,0.08899999999999997,-1,-8,0.08400000000000002,-7,-10,0.15799999999999992,14,-3.1000000000000014,-3.8000000000000114,-0.01679999999999998,-5.199999999999999,-8.600000000000001,-0.006199999999999983,2.0999999999999996,4.800000000000004,0.00930000000000003,-3.6999999999999993,-4.399999999999999,-0.020100000000000007,-7.800000000000011,-4.600000000000001,-8.0,-0.008599999999999997,-3.5,-7.199999999999996,0.008499999999999952,-1.1000000000000014,-0.8000000000000007,-0.025399999999999978,-4.5,-5.699999999999999,-0.025499999999999967,-14.799999999999997
9,-1,2021/3/26,CHO,MIA,W 110-105,0,-1,-8,0.033999999999999975,-4,-8,0.015000000000000013,3,0,0.07,4,-1,0.237,5,1,8,-0.033999999999999975,4,8,-0.015000000000000013,-3,0,-0.07,-4,1,-0.237,-5,0.9000000000000057,-1.0999999999999943,0.012999999999999956,-1.7000000000000028,-0.5,-0.03249999999999997,2.6000000000000014,-0.6000000000000014,0.0721,1.8999999999999986,4.0,-0.07320000000000004,6.299999999999997,3.0999999999999943,-0.7000000000000028,0.039600000000000024,3.1999999999999993,-1.8000000000000043,0.08150000000000002,-0.09999999999999964,1.1000000000000014,-0.016599999999999948,-0.09999999999999964,0.3000000000000007,-0.047599999999999976,6.0
