,Date,Tm,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1,FG_AVG,FGA_AVG,FG%_AVG,2P_AVG,2PA_AVG,2P%_AVG,3P_AVG,3PA_AVG,3P%_AVG,FT_AVG,FTA_AVG,FT%_AVG,PTS_AVG,FG_AVG.1,FGA_AVG.1,FG%_AVG.1,2P_AVG.1,2PA_AVG.1,2P%_AVG.1,3P_AVG.1,3PA_AVG.1,3P%_AVG.1,FT_AVG.1,FTA_AVG.1,FT%_AVG.1,PTS_AVG.1,FG_players,FGA_players,FG%_players,3P_players,3PA_players,3P%_players,FT_players,FTA_players,FT%_players,ORB_players,DRB_players,TRB_players,AST_players,STL_players,BLK_players,TOV_players,PF_players,PTS_players,+/-_players,TS%_players,eFG%_players,3PAr_players,FTr_players,ORB%_players,DRB%_players,TRB%_players,AST%_players,STL%_players,BLK%_players,TOV%_players,USG%_players,ORtg_players,DRtg_players,BPM_players
0,2021/3/27,LAC,PHI,W 122-112,0,6,8,0.02300000000000002,5,8,0.007000000000000117,1,0,0.03799999999999998,-3,-6,0.051000000000000045,10,-6,-8,-0.02300000000000002,-5,-8,-0.007000000000000117,-1,0,-0.03799999999999998,3,6,-0.051000000000000045,-10,-3.299999999999997,-3.799999999999997,-0.016500000000000015,-6.699999999999999,-10.0,-0.025699999999999945,3.4000000000000004,6.199999999999999,0.019799999999999984,1.0,-1.6999999999999993,0.11309999999999998,-2.200000000000003,1.3999999999999986,-2.6000000000000085,0.030200000000000005,-0.3999999999999986,-5.399999999999999,0.042599999999999916,1.8000000000000007,2.8000000000000007,0.03160000000000002,-1.0,-3.6999999999999993,0.09050000000000002,3.5999999999999943,1.365138888888887,2.4870138888888853,0.110705,0.35951388888888935,0.4722916666666661,0.1817698611111111,0.7492361111111112,0.6659722222222224,-0.18591576388888892,0.18680555555555556,0.9664583333333323,1.1532638888888873,1.514861111111111,0.5669444444444447,0.10784722222222223,-0.15388888888888874,0.07125000000000004,3.839027777777776,16.690625,0.09368763888888887,0.12639784722222225,-0.025053472222222206,-1.0308315972222222,0.2940694444444443,0.3069652777777794,-0.008680555555555358,1.9112291666666685,0.8121597222222223,0.4946597222222223,2.5614236111111133,0.008541666666673109,11.988958333333287,-10.19631944444447,2.379826388888889
1,2021/3/27,MIL,NYK,L 96-102,0,-4,-6,-0.016000000000000014,-2,2,-0.059,-2,-8,0.025000000000000022,4,8,-0.125,-6,4,6,0.016000000000000014,2,-2,0.059,2,8,-0.025000000000000022,-4,-8,0.125,6,5.800000000000004,5.299999999999997,0.0373,3.0,-1.5,0.06829999999999997,2.8000000000000007,6.800000000000001,0.004699999999999982,-0.5,-2.400000000000002,0.06979999999999986,13.900000000000006,4.100000000000001,14.200000000000003,-0.027400000000000035,1.7000000000000028,6.100000000000001,-0.034399999999999986,2.4000000000000004,8.099999999999998,-0.015200000000000047,-3.1999999999999993,-6.299999999999999,0.08749999999999991,7.3999999999999915,-0.115069444444444,-0.3636805555555558,-0.04400791666666665,-0.2284722222222224,-1.0889583333333315,0.0643049305555555,0.6985416666666665,1.2951388888888888,-0.13945138888888886,0.33701388888888895,-0.07083333333333375,0.26618055555555653,-1.0118055555555556,0.5297222222222218,-0.7333333333333334,0.41340277777777823,-0.9957638888888893,0.23993055555555287,-7.605208333333334,-0.04901437500000011,-0.051787916666666656,-0.034772361111111094,0.051729027777777783,1.0432569444444448,1.0406041666666699,0.8563541666666676,-3.154868055555559,0.4380277777777779,-1.437743055555556,0.8610694444444427,0.004506944444436556,-8.725277777777805,6.124513888888885,-1.5020208333333331
2,2021/3/27,HOU,MIN,W 129-107,0,14,7,0.11899999999999994,9,8,0.09299999999999997,5,-1,0.137,-11,-15,0.06000000000000005,22,-14,-7,-0.11899999999999994,-9,-8,-0.09299999999999997,-5,1,-0.137,11,15,-0.06000000000000005,-22,-3.1999999999999957,0.7000000000000028,-0.0388,-3.6000000000000014,-2.799999999999997,-0.04610000000000003,0.40000000000000036,3.5,-0.020899999999999974,-3.5999999999999996,-2.8999999999999986,-0.05630000000000002,-9.599999999999994,-2.3999999999999986,-2.0,-0.014999999999999958,-1.7000000000000028,-2.6000000000000014,0.0014999999999999458,-0.7000000000000011,0.6000000000000014,-0.026900000000000035,2.3000000000000007,2.1999999999999993,0.024900000000000033,-3.200000000000003,0.799513888888888,-0.5134722222222212,0.19906263888888892,0.2693749999999995,-1.006736111111112,0.0922578472222223,-1.4788888888888887,-1.7579166666666663,0.03883902777777781,-0.21104166666666657,-0.013749999999999929,-0.2247916666666665,0.1530555555555564,-0.12111111111111117,0.12375000000000003,-0.04951388888888908,0.932638888888889,0.3895138888888887,23.140416666666667,0.20863305555555556,0.2296629861111113,-0.0280802083333333,-0.19937777777777782,0.13681249999999956,0.11831944444445064,0.23776388888889066,-2.612666666666666,-0.21645138888888904,0.8447847222222222,-2.6104305555555545,0.014319444444442553,24.842083333333377,-21.371736111111105,5.337083333333334
3,2021/3/27,DAL,NOP,L 103-112,0,-5,2,-0.07300000000000001,-6,-3,-0.08099999999999996,1,5,-0.023000000000000076,0,-5,0.137,-9,5,-2,0.07300000000000001,6,3,0.08099999999999996,-1,-5,0.023000000000000076,0,5,-0.137,9,-1.7999999999999972,-2.0,-0.01050000000000001,-6.900000000000002,-11.0,-0.005600000000000049,5.100000000000001,8.999999999999996,0.05429999999999996,-5.100000000000001,-7.0,0.015899999999999914,-3.6000000000000085,-2.6000000000000014,1.2000000000000028,-0.036099999999999965,-2.6000000000000014,-0.7000000000000028,-0.04980000000000001,0.0,1.9000000000000057,-0.019000000000000017,-3.5999999999999996,-2.8000000000000007,-0.0676000000000001,-8.799999999999997,-0.41986111111111146,0.5176388888888876,-0.13789951388888888,0.15562500000000035,0.6106944444444458,-0.0080615277777778,-0.2868055555555551,-0.8621527777777773,0.30873131944444443,0.4215972222222222,-0.48243055555555525,-0.06083333333333396,0.215902777777778,0.001944444444444443,-0.10979166666666673,0.12993055555555566,0.5586805555555561,-0.9709027777777823,-11.842083333333335,-0.11630527777777772,-0.14085152777777787,0.031661597222222226,-0.013304930555555539,0.09745138888888949,0.11054861111111158,-1.0132291666666653,0.32356249999999775,0.000597222222222249,-0.4652708333333331,3.850118055555554,0.030243055555555287,-21.96104166666666,10.158194444444419,-2.328034722222222
4,2021/3/27,BOS,OKC,W 111-94,0,10,13,0.04799999999999999,9,13,0.041000000000000036,1,0,0.027000000000000024,-4,-10,0.16099999999999992,17,-10,-13,-0.04799999999999999,-9,-13,-0.041000000000000036,-1,0,-0.027000000000000024,4,10,-0.16099999999999992,-17,5.100000000000001,2.6000000000000085,0.043200000000000016,1.8999999999999986,-2.299999999999997,0.05469999999999997,3.1999999999999993,4.899999999999999,0.031399999999999983,-1.9000000000000004,-1.6999999999999993,0.01090000000000002,11.5,-0.4000000000000057,0.5,-0.006199999999999983,-4.400000000000002,-4.799999999999997,-0.037800000000000056,4.0,5.300000000000004,0.05569999999999997,1.6999999999999993,2.5,-0.04060000000000008,4.900000000000006,0.7686111111111105,1.5820833333333315,0.04158097222222207,0.11979166666666718,0.2692361111111099,0.0021137499999999976,-0.6018749999999999,-1.1545138888888888,-0.02884500000000001,-0.4024305555555555,-0.866388888888892,-1.2688194444444463,0.5802083333333337,0.25673611111111116,-0.04465277777777776,-0.5588194444444443,0.5324305555555557,1.0551388888888926,17.31805555555556,0.03157395833333332,0.03689416666666667,-0.028150694444444513,-0.1414714583333334,0.14132638888888804,0.1580138888888829,0.40229166666666494,0.3024166666666712,0.6131111111111118,0.39627777777777773,-2.8404652777777795,-0.01353472222222507,14.925347222222229,-16.42750000000001,4.0181666666666676
5,2021/3/27,CLE,SAC,L 98-100,0,-4,4,-0.07300000000000001,-6,8,-0.19700000000000006,2,-4,0.11300000000000002,4,9,-0.1339999999999999,-2,4,-4,0.07300000000000001,6,-8,0.19700000000000006,-2,4,-0.11300000000000002,-4,-9,0.1339999999999999,2,-6.899999999999999,-5.5,-0.04830000000000001,-4.700000000000003,-1.6999999999999957,-0.06609999999999994,-2.1999999999999993,-3.8000000000000007,-0.03420000000000001,0.10000000000000142,0.8000000000000007,-0.005400000000000071,-15.900000000000006,-2.1000000000000014,-4.299999999999997,-0.0015000000000000013,-1.1000000000000014,-3.5,0.01079999999999992,-1.0,-0.7999999999999972,-0.019199999999999995,-0.8000000000000007,-0.8000000000000007,-0.023800000000000043,-6.0,-0.6573611111111122,1.1113194444444474,-0.012287986111111093,0.18423611111111127,-0.34868055555555655,0.1828477777777778,0.6334027777777786,1.362638888888889,0.1321338194444444,0.16749999999999998,-1.2602777777777758,-1.092777777777778,0.8357638888888896,0.9690972222222218,-0.8831944444444442,-1.3086805555555556,-0.4343055555555557,-0.4970833333333289,-4.781527777777779,-0.004467291666666706,0.014185138888888837,-0.036297847222222346,0.09877201388888882,-0.7017361111111109,-0.6853888888888875,-2.0153541666666666,3.224305555555558,1.5153125,-2.2889722222222217,-11.349618055555553,-0.0012291666666648382,7.839861111111119,1.182430555555598,-0.522923611111112
6,2021/3/27,CHI,SAS,L 104-120,0,-5,10,-0.10899999999999999,-3,1,-0.05899999999999994,-2,9,-0.16500000000000004,-4,-10,0.135,-16,5,-10,0.10899999999999999,3,-1,0.05899999999999994,2,-9,0.16500000000000004,4,10,-0.135,16,1.8999999999999986,4.200000000000003,9.999999999998899e-05,-1.1000000000000014,-2.1000000000000014,-0.0023999999999999577,3.0,6.300000000000001,0.028400000000000036,-2.3000000000000007,-3.8000000000000007,0.06710000000000005,4.5,0.9000000000000057,1.7999999999999972,0.0019000000000000128,2.700000000000003,3.3999999999999986,0.014000000000000012,-1.8000000000000007,-1.5999999999999979,-0.04360000000000003,0.9000000000000004,1.6999999999999993,-0.016900000000000026,0.9000000000000057,-1.160069444444443,-0.7885416666666707,-0.13964451388888893,-0.37673611111111094,0.24145833333333355,0.08732451388888893,-0.8344444444444443,-1.7465972222222217,0.02562631944444449,0.5025,-0.8729861111111119,-0.37048611111111107,-0.920694444444444,-0.6829166666666664,-0.5311805555555557,0.18798611111111108,0.7254861111111108,-3.531319444444444,-19.37298611111111,-0.10167138888888877,-0.15248333333333336,0.1392356944444445,-0.1963875694444445,2.6350694444444436,2.622881944444446,1.5704444444444459,2.118784722222216,-0.5817986111111111,-1.2968055555555544,1.1710138888888828,-0.0017777777777716608,-19.61999999999999,15.380069444444445,-3.672173611111112
7,2021/3/27,MEM,UTA,L 110-126,0,-7,5,-0.09799999999999998,3,17,-0.10499999999999998,-10,-12,-0.14900000000000002,8,10,0.017000000000000015,-16,7,-5,0.09799999999999998,-3,-17,0.10499999999999998,10,12,0.14900000000000002,-8,-10,-0.017000000000000015,16,1.0,2.9000000000000057,-0.006000000000000005,8.2,16.400000000000006,-0.01319999999999999,-7.199999999999999,-13.5,-0.0595,-2.200000000000003,-1.6000000000000014,-0.03370000000000006,-7.400000000000006,-3.3999999999999986,-4.700000000000003,-0.014000000000000012,-5.800000000000001,-10.900000000000006,0.0019000000000000128,2.3999999999999986,6.199999999999996,-0.011899999999999966,2.3999999999999986,2.8999999999999986,-0.0015999999999999348,-2.0,-1.6218055555555555,-1.2232638888888907,-0.08342138888888889,-1.3454166666666674,-1.866458333333333,-0.11537819444444447,0.05888888888888921,0.132083333333334,0.19440437500000002,-0.08340277777777771,-1.603333333333333,-1.6867361111111112,-0.477847222222223,0.5060416666666667,-0.5234722222222221,-0.8031250000000001,-0.6003472222222215,-4.530138888888885,-23.053958333333334,-0.09564263888888896,-0.13427506944444456,-0.14196847222222214,0.11282076388888887,-0.08781250000000007,-0.08910416666665988,-1.0209375000000005,2.110624999999999,1.504173611111111,-1.6552291666666665,-4.500263888888888,0.01848611111111964,-6.265486111111102,14.883402777777775,-3.5925624999999988
8,2021/3/27,DET,WAS,L 92-106,0,-11,-6,-0.09600000000000003,-12,-14,-0.08899999999999997,1,8,-0.08400000000000002,7,10,-0.15799999999999992,-14,11,6,0.09600000000000003,12,14,0.08899999999999997,-1,-8,0.08400000000000002,-7,-10,0.15799999999999992,14,-3.1000000000000014,-3.8000000000000114,-0.01679999999999998,-5.199999999999999,-8.600000000000001,-0.006199999999999983,2.0999999999999996,4.800000000000004,0.00930000000000003,-3.6999999999999993,-4.399999999999999,-0.020100000000000007,-7.800000000000011,-4.600000000000001,-8.0,-0.008599999999999997,-3.5,-7.199999999999996,0.008499999999999952,-1.1000000000000014,-0.8000000000000007,-0.025399999999999978,-4.5,-5.699999999999999,-0.025499999999999967,-14.799999999999997,-1.251666666666666,-0.9270138888888901,-0.1088297222222222,-0.022222222222222365,0.6808333333333327,-0.09089319444444446,0.6076388888888891,0.8073611111111114,-0.025642361111111123,0.03819444444444431,-1.215694444444443,-1.1774999999999993,-0.697152777777778,0.2519444444444443,0.18986111111111115,-0.22354166666666697,-0.22840277777777795,-1.9179166666666685,-15.053888888888888,-0.0742751388888887,-0.12432138888888894,0.002968333333333295,0.09719506944444443,-0.3448750000000005,-0.3520972222222163,-1.0889513888888889,0.23046527777778003,0.39314583333333375,-0.3566111111111112,-0.03253472222222342,0.007548611111108272,-13.03097222222219,13.207083333333358,-3.1961041666666663
9,2021/3/26,CHO,MIA,W 110-105,0,-1,-8,0.033999999999999975,-4,-8,0.015000000000000013,3,0,0.07,4,-1,0.237,5,1,8,-0.033999999999999975,4,8,-0.015000000000000013,-3,0,-0.07,-4,1,-0.237,-5,0.9000000000000057,-1.0999999999999943,0.012999999999999956,-1.7000000000000028,-0.5,-0.03249999999999997,2.6000000000000014,-0.6000000000000014,0.0721,1.8999999999999986,4.0,-0.07320000000000004,6.299999999999997,3.0999999999999943,-0.7000000000000028,0.039600000000000024,3.1999999999999993,-1.8000000000000043,0.08150000000000002,-0.09999999999999964,1.1000000000000014,-0.016599999999999948,-0.09999999999999964,0.3000000000000007,-0.047599999999999976,6.0,-0.07527777777777711,-0.39020833333333016,0.010812777777777727,0.6372222222222228,0.6391666666666662,0.0640697916666666,0.36430555555555566,0.04715277777777871,0.3293254861111111,-0.41006944444444415,0.6749305555555543,0.26486111111110944,0.28354166666666725,-0.42402777777777767,0.5677777777777777,0.905208333333333,-0.16319444444444486,0.8509722222222234,0.7889583333333331,0.03225326388888883,0.015215555555555538,-0.019897152777777705,-0.012130208333333364,-0.6643611111111114,-0.6534930555555505,0.7520138888888876,1.6198125000000054,-0.6297083333333333,1.5136805555555553,8.029388888888887,0.009131944444440876,5.4154166666666725,-5.356944444444466,1.2342708333333339
