,Date,Tm,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG_AVG,FGA_AVG,FG%_AVG,2P_AVG,2PA_AVG,2P%_AVG,3P_AVG,3PA_AVG,3P%_AVG,FT_AVG,FTA_AVG,FT%_AVG,PTS_AVG,FG_AVG,FGA_AVG,FG%_AVG,2P_AVG,2PA_AVG,2P%_AVG,3P_AVG,3PA_AVG,3P%_AVG,FT_AVG,FTA_AVG,FT%_AVG,PTS_AVG
140,2021/3/19,IND,MIA,W 137-110,240,52,89,0.584,32,53,0.604,20,36,0.556,13,19,0.684,137,41,92,0.446,32,58,0.552,9,34,0.265,19,20,0.95,110,40.7,86.7,0.4702,29.7,53.3,0.5535,11,33.4,0.3287,17.6,21.5,0.8047,110,42.3,84.5,0.5013,31.6,57.4,0.5554,10.7,27.1,0.3926,20.1,24.4,0.8293,115.4
141,2021/3/19,MIA,IND,L 110-137,240,41,92,0.446,32,58,0.552,9,34,0.265,19,20,0.95,110,52,89,0.584,32,53,0.604,20,36,0.556,13,19,0.684,137,37.3,83.4,0.4478,25.2,47,0.5378,12.1,36.4,0.3357,17.7,21.9,0.8074,104.4,35.5,84.4,0.4234,22.5,45.1,0.507,13,39.3,0.3299,14.7,17.9,0.8323,98.7
142,2021/3/19,BRK,ORL,L 113-121,240,43,91,0.473,33,54,0.611,10,37,0.27,17,23,0.739,113,43,84,0.512,22,44,0.5,21,40,0.525,14,20,0.7,121,43.5,87.5,0.4985,29.3,50.7,0.5781,14.2,36.8,0.3798,17.2,23,0.7483,118.4,40.4,89.1,0.4543,27.3,52.9,0.5166,13.1,36.2,0.3613,15.2,20.6,0.7339,109.1
143,2021/3/19,ORL,BRK,W 121-113,240,43,84,0.512,22,44,0.5,21,40,0.525,14,20,0.7,121,43,91,0.473,33,54,0.611,10,37,0.27,17,23,0.739,113,36.6,86.4,0.4227,23.9,50.4,0.4747,12.7,36,0.3499,14.6,17.9,0.8088,100.5,40.9,88.6,0.4617,25.9,46.9,0.5576,15,41.7,0.3592,14.2,18.3,0.7737,111
144,2021/3/19,MIN,PHO,L 101-113,240,37,79,0.468,24,44,0.545,13,35,0.371,14,18,0.778,101,43,86,0.5,29,59,0.492,14,27,0.519,13,17,0.765,113,42.6,92.3,0.4632,30.3,54.8,0.5575,12.3,37.5,0.3276,19,24.4,0.8089,116.5,46.7,92.7,0.5044,33.6,58.2,0.5766,13.1,34.5,0.3773,18.6,23.5,0.7862,125.1
145,2021/3/19,PHO,MIN,W 113-101,240,43,86,0.5,29,59,0.492,14,27,0.519,13,17,0.765,113,37,79,0.468,24,44,0.545,13,35,0.371,14,18,0.778,101,45.3,87.8,0.5167,33,57.8,0.5718,12.3,30,0.4083,16.1,19.5,0.8233,119,40.3,87.1,0.4639,28.8,53.6,0.5392,11.5,33.5,0.3407,16.6,21.4,0.7711,108.7
146,2021/3/19,DAL,POR,L 119-125,240,44,81,0.543,25,39,0.641,19,42,0.452,12,13,0.923,119,44,93,0.473,22,46,0.478,22,47,0.468,15,17,0.882,125,39.7,83.5,0.4746,25.4,45.1,0.566,14.3,38.4,0.3748,14.5,18.2,0.8046,108.2,38.7,88.2,0.4385,25.3,52.5,0.484,13.4,35.7,0.3797,13.1,17.3,0.7445,103.9
147,2021/3/19,POR,DAL,W 125-119,240,44,93,0.473,22,46,0.478,22,47,0.468,15,17,0.882,125,44,81,0.543,25,39,0.641,19,42,0.452,12,13,0.923,119,39.3,86.2,0.4566,23.5,43.7,0.543,15.8,42.5,0.3708,19.3,21.7,0.8818,113.7,41.8,88.3,0.475,29.4,55.7,0.5325,12.4,32.6,0.3849,16.8,22.7,0.7358,112.8
148,2021/3/19,TOR,UTA,L 112-115,240,40,83,0.482,19,39,0.487,21,44,0.477,11,14,0.786,112,34,74,0.459,22,37,0.595,12,37,0.324,35,41,0.854,115,38.6,87.3,0.4441,23.6,46.3,0.5156,15,41,0.3659,18.1,21.8,0.8317,110.3,39.5,84.4,0.4703,24.1,45,0.5341,15.4,39.4,0.394,22.5,28.4,0.7913,116.9
149,2021/3/19,UTA,TOR,W 115-112,240,34,74,0.459,22,37,0.595,12,37,0.324,35,41,0.854,115,40,83,0.482,19,39,0.487,21,44,0.477,11,14,0.786,112,42.3,90.2,0.4705,23.6,44.6,0.5358,18.7,45.6,0.4076,17.2,22.2,0.7769,120.5,44.9,92.6,0.4877,34.5,63.6,0.542,10.4,29,0.385,16,20.5,0.7756,116.2
150,2021/3/18,ATL,OKC,W 116-93,240,47,87,0.54,36,54,0.667,11,33,0.333,11,13,0.846,116,34,93,0.366,21,59,0.356,13,34,0.382,12,16,0.75,93,39.4,84.5,0.4669,24.7,47.5,0.5202,14.7,37,0.3951,18.1,22.3,0.8183,111.6,39,86.9,0.4483,27.3,52.6,0.5188,11.7,34.3,0.3418,16.1,20.4,0.7805,105.8
151,2021/3/18,OKC,ATL,L 93-116,240,34,93,0.366,21,59,0.356,13,34,0.382,12,16,0.75,93,47,87,0.54,36,54,0.667,11,33,0.333,11,13,0.846,116,38,84.1,0.4539,25.3,47.5,0.5397,12.7,36.6,0.353,15.1,19.2,0.7848,103.8,41.4,87.9,0.4698,29.7,54.5,0.5418,11.7,33.4,0.3534,15.8,20.6,0.7783,110.3
152,2021/3/18,CHO,LAL,L 105-116,240,41,83,0.494,30,54,0.556,11,29,0.379,12,20,0.6,105,44,92,0.478,31,53,0.585,13,39,0.333,15,20,0.75,116,42,88,0.4772,28.1,51.7,0.5463,13.9,36.3,0.3804,19.4,24.1,0.7998,117.3,44.7,88.2,0.5095,29,47.6,0.6067,15.7,40.6,0.3832,13.4,17.6,0.7527,118.5
153,2021/3/18,LAL,CHO,W 116-105,240,44,92,0.478,31,53,0.585,13,39,0.333,15,20,0.75,116,41,83,0.494,30,54,0.556,11,29,0.379,12,20,0.6,105,41.5,85.9,0.4838,30.7,54.6,0.5626,10.8,31.3,0.351,18.2,24.3,0.7478,112,39.5,85.1,0.4644,27.7,51.7,0.5315,11.8,33.4,0.3555,16.8,22.1,0.7594,107.6
154,2021/3/18,NYK,ORL,W 94-93,240,37,86,0.43,23,52,0.442,14,34,0.412,6,11,0.545,94,35,82,0.427,25,48,0.521,10,34,0.294,13,16,0.813,93,40.6,86.9,0.4684,27.7,55.3,0.5014,12.9,31.6,0.4098,15.9,20.1,0.7904,110,39.8,82.8,0.4807,27.2,48.6,0.5627,12.6,34.2,0.3659,18,22.8,0.7918,110.2
155,2021/3/18,ORL,NYK,L 93-94,240,35,82,0.427,25,48,0.521,10,34,0.294,13,16,0.813,93,37,86,0.43,23,52,0.442,14,34,0.412,6,11,0.545,94,37.7,87.6,0.4289,24.2,50.7,0.4775,13.5,36.9,0.3624,14.7,18,0.8099,103.6,41.8,89.7,0.4661,26.3,47.2,0.5625,15.5,42.5,0.3632,14.5,18.7,0.7792,113.6
156,2021/3/18,MIN,PHO,W 123-119,240,44,93,0.473,33,59,0.559,11,34,0.324,24,35,0.686,123,45,85,0.529,30,49,0.612,15,36,0.417,14,19,0.737,119,41.5,91.2,0.4561,28.7,53.6,0.5378,12.8,37.6,0.3409,18.3,23,0.8213,114.1,45.5,92,0.4938,33.3,59.3,0.5604,12.2,32.7,0.3689,20.3,25.4,0.7941,123.5
157,2021/3/18,PHO,MIN,L 119-123,240,45,85,0.529,30,49,0.612,15,36,0.417,14,19,0.737,119,44,93,0.473,33,59,0.559,11,34,0.324,24,35,0.686,123,45.4,87.9,0.5173,32.2,56.9,0.5656,13.2,31,0.4188,15.9,18.9,0.8419,119.9,39.5,87.1,0.4553,28.6,53.7,0.535,10.9,33.4,0.3235,16.2,20.2,0.7895,106.1
158,2021/3/18,NOP,POR,L 93-101,240,33,83,0.398,23,46,0.5,10,37,0.27,17,25,0.68,93,33,87,0.379,19,44,0.432,14,43,0.326,21,25,0.84,101,46.1,91.2,0.508,36.5,62.7,0.584,9.6,28.5,0.3599,17.5,23.9,0.7402,119.3,43.1,88.7,0.4862,29.5,52.9,0.564,13.6,35.8,0.3774,17.8,21.1,0.8308,117.6
159,2021/3/18,POR,NOP,W 101-93,240,33,87,0.379,19,44,0.432,14,43,0.326,21,25,0.84,101,33,83,0.398,23,46,0.5,10,37,0.27,17,25,0.68,93,39.7,85.9,0.4627,24.1,43.8,0.5554,15.6,42.1,0.369,18.6,21.1,0.8715,113.6,43.5,89.9,0.4857,30.5,57.7,0.534,13,32.2,0.4064,16.7,22,0.7567,116.7
