,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1,FG_AVG,FGA_AVG,FG%_AVG,2P_AVG,2PA_AVG,2P%_AVG,3P_AVG,3PA_AVG,3P%_AVG,FT_AVG,FTA_AVG,FT%_AVG,PTS_AVG,FG_AVG.1,FGA_AVG.1,FG%_AVG.1,2P_AVG.1,2PA_AVG.1,2P%_AVG.1,3P_AVG.1,3PA_AVG.1,3P%_AVG.1,FT_AVG.1,FT%_AVG.1,PTS_AVG.1,FG_players,FGA_players,FG%_players,3P_players,3PA_players,3P%_players,FT_players,FTA_players,FT%_players,ORB_players,DRB_players,TRB_players,AST_players,STL_players,BLK_players,TOV_players,PF_players,PTS_players,TS%_players,3PAr_players,FTr_players,ORB%_players,TRB%_players,AST%_players,STL%_players,BLK%_players,TOV%_players,USG%_players,ORtg_players,A/T,EFF,y
557,0,0,-6,0.032999999999999974,6,-1,0.115,-6,-5,-0.12400000000000005,-3,4,-0.32199999999999995,-9,0,6,-0.032999999999999974,-6,1,-0.115,6,5,0.12400000000000005,3,-4,0.32199999999999995,9,1.5999999999999943,-3.0999999999999943,0.0353,0.5,-5.8000000000000025,0.06289999999999996,1.0999999999999996,2.7,0.0013000000000000234,-2.1,-1.8000000000000007,-0.03259999999999996,2.200000000000003,-1.6999999999999955,-3.200000000000003,-0.0018000000000000238,-0.6999999999999993,-2.0999999999999943,0.007299999999999973,-1.0,-1.1000000000000014,-0.0121,-0.5999999999999996,-0.02539999999999997,-5.0,-0.17243055555555387,-0.8981944444444441,0.0641064583333334,-0.7172916666666667,-0.6756944444444444,-0.15439784722222227,-0.7717361111111108,0.10770833333333353,-0.3499195833333334,0.4602083333333332,0.4187500000000002,0.8789583333333333,-0.5811805555555551,-0.23305555555555565,0.16423611111111108,0.7018055555555556,0.2454166666666661,-1.833888888888888,0.0034600694444445468,-0.034124444444444464,0.09831680555555553,1.5066041666666663,1.8225972222222229,-2.9597430555555566,-0.4109930555555555,0.3337222222222227,9.032090277777776,0.016479166666670153,-6.497083333333336,-0.8281219077775572,-1.6049305555555544,0
558,0,0,-4,0.02200000000000002,-2,-3,-0.012000000000000066,2,-1,0.07800000000000001,2,8,-0.3120000000000001,4,0,4,-0.02200000000000002,2,3,0.012000000000000066,-2,1,-0.07800000000000001,-2,-8,0.3120000000000001,-4,-0.19999999999999574,-3.8999999999999915,0.01669999999999999,1.2000000000000028,1.5999999999999943,0.00539999999999996,-1.4000000000000004,-5.5,0.0141,0.5,2.6000000000000014,-0.06369999999999998,-1.2999999999999972,-1.5,-2.299999999999997,-0.005799999999999972,-2.2,-0.8000000000000043,-0.03369999999999995,0.7000000000000011,-1.5,0.04369999999999996,-2.1,-0.06059999999999999,-4.399999999999992,0.9746527777777784,2.4008333333333347,0.058992569444444524,0.5970833333333332,1.1516666666666668,0.1097083333333333,0.49625,1.4647222222222234,0.08196159722222217,-0.09958333333333358,-0.12298611111111102,-0.222569444444444,0.6438194444444449,0.4317361111111115,-0.24750000000000005,0.3197916666666669,-0.06923611111111128,3.042638888888892,0.09135069444444444,0.04109805555555557,0.07911249999999997,-2.165368055555555,-2.589826388888892,-2.020458333333327,-0.4449513888888888,-1.2998263888888886,-0.9675347222222221,0.011368055555550429,8.814999999999998,2.013246471226928,3.648125000000004,1
559,0,-10,3,-0.12500000000000006,-6,3,-0.15199999999999994,-4,0,-0.09799999999999998,6,10,-0.06799999999999995,-18,10,-3,0.12500000000000006,6,-3,0.15199999999999994,4,0,0.09799999999999998,-6,-10,0.06799999999999995,18,-0.8999999999999986,-1.9000000000000057,0.002300000000000024,3.3000000000000007,4.300000000000004,0.025000000000000026,-4.199999999999998,-6.200000000000002,-0.05069999999999997,-4.400000000000002,-3.6000000000000014,-0.07069999999999999,-10.399999999999991,1.1000000000000014,-1.5999999999999943,0.02399999999999997,3.0,1.9000000000000057,0.03339999999999998,-1.8999999999999984,-3.5,-0.017699999999999994,-0.5999999999999979,-0.0665,-0.2999999999999972,-0.6084722222222241,0.9773611111111098,-0.1641973611111111,-0.3899305555555561,-0.002291666666666359,-0.07858208333333336,0.7684027777777779,1.1679861111111105,0.10545479166666656,0.7880555555555555,-0.0992361111111113,0.6888194444444444,0.0495833333333322,0.3517361111111109,-0.05805555555555553,0.5491666666666668,0.0915277777777781,-0.8384722222222241,-0.15834791666666675,-0.029093333333333363,0.05636618055555559,2.5815694444444444,0.8743680555555535,0.4593958333333354,0.18430555555555594,-0.6761458333333323,-1.1597708333333312,0.03614583333332888,-17.842638888888885,0.09028831562973996,0.193611111111108,0
560,0,4,11,-0.0010000000000000009,8,7,0.08900000000000002,-4,4,-0.131,-12,-15,0.015000000000000013,-8,-4,-11,0.0010000000000000009,-8,-7,-0.08900000000000002,4,-4,0.131,12,15,-0.015000000000000013,8,1.8999999999999984,2.9000000000000057,0.005599999999999994,0.8999999999999986,-0.20000000000000284,0.014399999999999968,1.0,3.1000000000000014,-0.006500000000000007,4.899999999999999,4.700000000000003,0.04979999999999996,9.700000000000003,1.0,6.099999999999994,-0.0217,3.899999999999999,9.799999999999997,-0.03480000000000005,-2.9000000000000004,-3.6999999999999957,-0.04880000000000001,6.100000000000001,0.0938,5.200000000000003,-0.10305555555555568,0.19472222222222327,0.04764499999999999,-0.7174305555555557,-0.14173611111111306,-0.17659506944444447,-1.6974305555555558,-2.130833333333332,-0.20844944444444435,0.5591666666666666,0.18569444444444366,0.7448611111111125,-0.05972222222222045,-0.845,-0.8419444444444445,0.43513888888888896,1.1632638888888884,-2.6209722222222265,-0.01142666666666664,-0.0024863194444443852,-0.19561847222222228,1.512236111111112,1.5186041666666696,-0.5284652777777765,-0.9961805555555558,-2.097361111111111,1.9986527777777745,-0.018291666666666373,-2.732569444444465,-0.13724864347270574,-3.622777777777779,0
561,0,3,5,0.00899999999999995,6,9,0.02199999999999991,-3,-4,-0.057,-10,-6,-0.21100000000000002,-7,-3,-5,-0.00899999999999995,-6,-9,-0.02199999999999991,3,4,0.057,10,6,0.21100000000000002,7,0.19999999999999574,4.900000000000006,-0.0187,1.5,1.5,0.01709999999999989,-1.299999999999999,3.3999999999999986,-0.07050000000000001,4.400000000000002,5.600000000000001,-0.014399999999999968,3.5,2.299999999999997,3.299999999999997,0.007900000000000018,-0.09999999999999787,2.199999999999996,-0.027100000000000013,2.4000000000000004,1.1000000000000014,0.05380000000000002,5.400000000000002,0.0583999999999999,12.400000000000004,-0.03798611111111061,-0.530624999999997,0.01786923611111102,-0.44076388888888896,-0.7595833333333329,-0.05211222222222223,-1.9392361111111112,-1.4245138888888893,-0.29139173611111124,-0.7438194444444446,-1.6734722222222218,-2.417291666666668,0.648680555555555,0.2590277777777775,-0.2593055555555556,-1.0896527777777776,-0.5541666666666671,-2.4559722222222167,-0.0183891666666669,-0.0023716666666667163,0.03398236111111118,-2.5206041666666668,-3.1476111111111145,1.1835416666666705,0.8566388888888891,-0.21586805555555544,-2.4066805555555533,0.0051111111111126215,-6.7774305555555525,-0.5953094130393215,-4.224861111111108,0
562,0,-3,-8,0.009000000000000008,-2,-15,0.10799999999999996,-1,7,-0.124,0,0,0.0,-7,3,8,-0.009000000000000008,2,15,-0.10799999999999996,1,-7,0.124,0,0,0.0,7,-4.599999999999994,-4.899999999999992,-0.027600000000000013,-6.5,-15.4,0.055400000000000005,1.9000000000000004,10.5,-0.032499999999999966,6.799999999999999,6.5,0.0806,-0.5,4.0,2.8999999999999915,0.029899999999999982,3.5,2.0,0.04830000000000007,0.5,0.8999999999999986,-0.025899999999999986,0.0,0.02000000000000001,8.5,-0.4934722222222208,-1.457430555555554,0.015242569444444631,-0.2529166666666665,0.9199999999999988,0.04995006944444447,-0.10749999999999993,-0.2708333333333326,0.2191781250000001,-0.3974305555555557,-0.05555555555555625,-0.4529861111111115,-0.08305555555555477,-0.41437500000000027,0.3752777777777774,0.8659722222222226,-0.049513888888888864,-1.3473611111111092,0.05183145833333347,0.13093270833333348,0.03331604166666663,-0.6267083333333328,0.26559722222222426,-1.0560277777777785,-0.5871944444444448,0.10046527777777747,9.654229166666667,-0.007951388888894684,-10.068888888888893,-0.09591018444266143,-1.9224999999999983,0
563,0,7,18,-0.008000000000000063,8,19,-0.02000000000000001,-1,-1,-0.018000000000000016,-11,-14,0.07100000000000006,2,-7,-18,0.008000000000000063,-8,-19,0.02000000000000001,1,1,0.018000000000000016,11,14,-0.07100000000000006,-2,3.200000000000003,4.400000000000006,0.013800000000000034,3.0,8.399999999999999,-0.02839999999999998,0.1999999999999993,-4.0,0.047300000000000016,-1.5,-1.6999999999999993,-0.014500000000000068,5.1000000000000085,1.3000000000000045,0.10000000000000853,0.017899999999999968,4.199999999999998,7.0,0.012899999999999969,-2.9000000000000004,-6.900000000000002,-0.0065999999999999965,2.3999999999999986,-0.0015999999999999348,2.0999999999999943,0.8027083333333325,2.357291666666665,0.04606111111111117,0.23305555555555624,0.11986111111111165,0.09265381944444452,-1.5822916666666664,-2.0640277777777785,-0.0662400694444445,0.9429166666666666,0.017638888888890314,0.9605555555555574,-0.26256944444444485,0.6640972222222222,-0.2513888888888888,-0.1561111111111111,1.1475694444444449,0.2561805555555541,-0.02152916666666671,-0.15834770833333328,-0.12660722222222218,3.3804791666666683,2.312305555555559,-5.5095486111111125,1.0727222222222221,0.0378750000000001,-0.42490972222221934,0.0017986111111127914,6.373680555555552,1.6819395017793624,1.3668750000000005,1
564,0,-11,7,-0.15200000000000002,-5,9,-0.192,-6,-2,-0.125,13,9,0.248,-15,11,-7,0.15200000000000002,5,-9,0.192,6,2,0.125,-13,-9,-0.248,15,-4.399999999999999,-0.5,-0.0484,-0.1999999999999993,2.799999999999997,-0.033200000000000014,-4.199999999999998,-3.3000000000000043,-0.07480000000000002,-0.8000000000000007,-1.4000000000000021,-0.02470000000000005,-13.799999999999995,0.6999999999999957,-7.099999999999994,0.044300000000000006,1.1999999999999993,-3.8000000000000043,0.06059999999999999,-0.5,-3.3000000000000043,0.012900000000000024,2.1000000000000014,-0.035699999999999954,3.0,-1.6395138888888892,-0.4983333333333366,-0.18074333333333345,-0.7038194444444446,-0.4394444444444439,-0.20087604166666664,1.262847222222222,0.6577083333333329,0.07940104166666667,0.3327777777777781,-0.9526388888888896,-0.6198611111111134,-2.218958333333333,0.03270833333333334,-0.18881944444444448,-0.8918750000000004,-0.7070138888888886,-2.720000000000008,-0.20167347222222207,-0.13792812499999996,0.07238479166666664,1.2503680555555539,-0.003222222222222016,-4.889368055555557,0.20495833333333324,-0.1529583333333333,-4.147666666666663,-0.005361111111103156,-13.512500000000005,2.4879701004438197,-5.714930555555565,0
565,0,4,2,0.033999999999999975,19,26,0.08499999999999996,-15,-24,-0.231,6,7,0.03299999999999992,-1,-4,-2,-0.033999999999999975,-19,-26,-0.08499999999999996,15,24,0.231,-6,-7,-0.03299999999999992,1,2.6000000000000014,-0.5999999999999943,0.033499999999999974,6.1999999999999975,8.899999999999997,0.03509999999999991,-3.6000000000000014,-9.5,-0.02729999999999999,3.0000000000000018,4.100000000000001,0.0009000000000000119,4.599999999999994,-2.0,-4.5,-0.0015999999999999905,-4.100000000000001,-8.700000000000003,0.00219999999999998,2.1,4.199999999999996,0.023799999999999988,-0.1999999999999993,0.06980000000000007,-2.0999999999999943,1.1166666666666654,0.9759722222222252,-0.006767638888888872,-1.553958333333333,-2.5649305555555544,-0.3285520138888889,0.8865277777777776,1.1423611111111107,0.013822847222222271,0.7699305555555556,1.5721527777777764,2.342083333333332,0.07277777777777983,0.05812500000000021,-0.5133333333333333,0.5795833333333331,0.3477777777777782,1.5659027777777759,-0.11699326388888888,-0.284662013888889,0.10253548611111107,2.4650763888888902,3.103555555555559,-3.60159027777778,0.1911666666666667,-1.4846666666666666,1.818958333333331,-0.013770833333328623,-10.769375000000037,0.1255691349149329,3.5255555555555547,0
566,0,5,-4,0.07700000000000001,11,18,0.016000000000000014,-6,-22,0.045999999999999985,8,8,0.19199999999999995,12,-5,4,-0.07700000000000001,-11,-18,-0.016000000000000014,6,22,-0.045999999999999985,-8,-8,-0.19199999999999995,-12,-1.6999999999999955,-6.5,0.014000000000000012,4.5,9.199999999999996,-0.008299999999999974,-6.200000000000001,-15.699999999999996,0.004400000000000015,3.4000000000000017,4.099999999999998,0.013199999999999993,-6.200000000000002,-5.0,-3.8999999999999915,-0.0383,-4.699999999999998,-11.9,0.018799999999999928,-0.2999999999999989,8.000000000000004,-0.10109999999999997,3.8000000000000007,-0.01100000000000001,-6.5,1.7954861111111091,1.5065972222222257,0.06273770833333348,-0.5921527777777776,-2.448194444444445,-0.021307083333333282,1.6213888888888894,1.7230555555555558,0.1922252083333334,0.4736805555555554,1.7326388888888884,2.2063194444444454,0.9571527777777772,0.7013888888888891,-0.2228472222222222,0.11256944444444472,0.7862499999999999,4.620208333333332,0.04097312499999994,-0.2459454861111111,0.06240388888888891,0.8824097222222234,1.3312083333333329,-0.11188194444444656,1.045125,-0.629194444444444,0.2799027777777816,-0.002347222222226719,10.462013888888904,8.502776064157901,8.26222222222222,1
