,Date,Tm,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1056,2020/12/27,NOP,SAS,W 98-95,240,36,94,0.383,31,70,0.443,5,24,0.208,21,29,0.724,98,38,89,0.427,27,53,0.509,11,36,0.306,8,8,1,95
1057,2020/12/27,SAS,NOP,L 95-98,240,38,89,0.427,27,53,0.509,11,36,0.306,8,8,1,95,36,94,0.383,31,70,0.443,5,24,0.208,21,29,0.724,98
1058,2020/12/27,MIL,NYK,L 110-130,240,41,95,0.432,34,57,0.596,7,38,0.184,21,29,0.724,110,46,85,0.541,30,58,0.517,16,27,0.593,22,27,0.815,130
1059,2020/12/27,NYK,MIL,W 130-110,240,46,85,0.541,30,58,0.517,16,27,0.593,22,27,0.815,130,41,95,0.432,34,57,0.596,7,38,0.184,21,29,0.724,110
1060,2020/12/27,PHO,SAC,W 116-100,240,46,94,0.489,32,59,0.542,14,35,0.4,10,11,0.909,116,36,76,0.474,26,53,0.491,10,23,0.435,18,25,0.72,100
1061,2020/12/27,SAC,PHO,L 100-116,240,36,76,0.474,26,53,0.491,10,23,0.435,18,25,0.72,100,46,94,0.489,32,59,0.542,14,35,0.4,10,11,0.909,116
1062,2020/12/27,ORL,WAS,W 120-113,240,37,85,0.435,28,60,0.467,9,25,0.36,37,38,0.974,120,47,97,0.485,39,65,0.6,8,32,0.25,11,13,0.846,113
1063,2020/12/27,WAS,ORL,L 113-120,240,47,97,0.485,39,65,0.6,8,32,0.25,11,13,0.846,113,37,85,0.435,28,60,0.467,9,25,0.36,37,38,0.974,120
1064,2020/12/26,CHI,IND,L 106-125,240,34,91,0.374,18,52,0.346,16,39,0.41,22,25,0.88,106,52,93,0.559,43,67,0.642,9,26,0.346,12,19,0.632,125
1065,2020/12/26,IND,CHI,W 125-106,240,52,93,0.559,43,67,0.642,9,26,0.346,12,19,0.632,125,34,91,0.374,18,52,0.346,16,39,0.41,22,25,0.88,106
1066,2020/12/26,CHO,OKC,L 107-109,240,37,93,0.398,24,61,0.393,13,32,0.406,20,32,0.625,107,40,88,0.455,30,52,0.577,10,36,0.278,19,24,0.792,109
1067,2020/12/26,OKC,CHO,W 109-107,240,40,88,0.455,30,52,0.577,10,36,0.278,19,24,0.792,109,37,93,0.398,24,61,0.393,13,32,0.406,20,32,0.625,107
1068,2020/12/26,CLE,DET,W 128-119 (2OT),290,48,99,0.485,35,69,0.507,13,30,0.433,19,30,0.633,128,40,98,0.408,24,53,0.453,16,45,0.356,23,32,0.719,119
1069,2020/12/26,DET,CLE,L 119-128 (2OT),290,40,98,0.408,24,53,0.453,16,45,0.356,23,32,0.719,119,48,99,0.485,35,69,0.507,13,30,0.433,19,30,0.633,128
1070,2020/12/26,ATL,MEM,W 122-112,240,38,89,0.427,25,53,0.472,13,36,0.361,33,38,0.868,122,37,93,0.398,24,50,0.48,13,43,0.302,25,29,0.862,112
1071,2020/12/26,MEM,ATL,L 112-122,240,37,93,0.398,24,50,0.48,13,43,0.302,25,29,0.862,112,38,89,0.427,25,53,0.472,13,36,0.361,33,38,0.868,122
1072,2020/12/26,NYK,PHI,L 89-109,240,32,83,0.386,24,54,0.444,8,29,0.276,17,23,0.739,89,41,88,0.466,30,57,0.526,11,31,0.355,16,22,0.727,109
1073,2020/12/26,PHI,NYK,W 109-89,240,41,88,0.466,30,57,0.526,11,31,0.355,16,22,0.727,109,32,83,0.386,24,54,0.444,8,29,0.276,17,23,0.739,89
1074,2020/12/26,HOU,POR,L 126-128 (OT),265,45,87,0.517,34,52,0.654,11,35,0.314,25,32,0.781,126,47,102,0.461,28,57,0.491,19,45,0.422,15,23,0.652,128
1075,2020/12/26,POR,HOU,W 128-126 (OT),265,47,102,0.461,28,57,0.491,19,45,0.422,15,23,0.652,128,45,87,0.517,34,52,0.654,11,35,0.314,25,32,0.781,126
1076,2020/12/26,PHO,SAC,L 103-106,240,41,98,0.418,30,54,0.556,11,44,0.25,10,13,0.769,103,39,86,0.453,34,63,0.54,5,23,0.217,23,33,0.697,106
