,Date,Tm,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1170,2020/8/10,MIL,TOR,L 106-114,240,33,84,0.393,19,41,0.463,14,43,0.326,26,35,0.743,106,42,97,0.433,30,57,0.526,12,40,0.3,18,26,0.692,114
1171,2020/8/10,TOR,MIL,W 114-106,240,42,97,0.433,30,57,0.526,12,40,0.3,18,26,0.692,114,33,84,0.393,19,41,0.463,14,43,0.326,26,35,0.743,106
1172,2020/8/10,OKC,PHO,L 101-128,240,35,90,0.389,22,51,0.431,13,39,0.333,18,21,0.857,101,42,89,0.472,25,55,0.455,17,34,0.5,27,29,0.931,128
1173,2020/8/10,PHO,OKC,W 128-101,240,42,89,0.472,25,55,0.455,17,34,0.5,27,29,0.931,128,35,90,0.389,22,51,0.431,13,39,0.333,18,21,0.857,101
1174,2020/8/10,DAL,UTA,W 122-114,240,48,85,0.565,36,61,0.59,12,24,0.5,14,16,0.875,122,39,82,0.476,18,36,0.5,21,46,0.457,15,20,0.75,114
1175,2020/8/10,UTA,DAL,L 114-122,240,39,82,0.476,18,36,0.5,21,46,0.457,15,20,0.75,114,48,85,0.565,36,61,0.59,12,24,0.5,14,16,0.875,122
1176,2020/8/9,BOS,ORL,W 122-119 (OT),265,45,102,0.441,33,62,0.532,12,40,0.3,20,24,0.833,122,41,102,0.402,26,55,0.473,15,47,0.319,22,26,0.846,119
1177,2020/8/9,ORL,BOS,L 119-122 (OT),265,41,102,0.402,26,55,0.473,15,47,0.319,22,26,0.846,119,45,102,0.441,33,62,0.532,12,40,0.3,20,24,0.833,122
1178,2020/8/9,BRK,LAC,W 129-120,240,47,85,0.553,27,42,0.643,20,43,0.465,15,19,0.789,129,45,93,0.484,32,57,0.561,13,36,0.361,17,20,0.85,120
1179,2020/8/9,LAC,BRK,L 120-129,240,45,93,0.484,32,57,0.561,13,36,0.361,17,20,0.85,120,47,85,0.553,27,42,0.643,20,43,0.465,15,19,0.789,129
1180,2020/8/9,NOP,SAS,L 113-122,240,42,96,0.438,30,66,0.455,12,30,0.4,17,22,0.773,113,40,89,0.449,29,61,0.475,11,28,0.393,31,32,0.969,122
1181,2020/8/9,SAS,NOP,W 122-113,240,40,89,0.449,29,61,0.475,11,28,0.393,31,32,0.969,122,42,96,0.438,30,66,0.455,12,30,0.4,17,22,0.773,113
1182,2020/8/9,OKC,WAS,W 121-103,240,43,84,0.512,25,45,0.556,18,39,0.462,17,22,0.773,121,38,92,0.413,29,56,0.518,9,36,0.25,18,22,0.818,103
1183,2020/8/9,WAS,OKC,L 103-121,240,38,92,0.413,29,56,0.518,9,36,0.25,18,22,0.818,103,43,84,0.512,25,45,0.556,18,39,0.462,17,22,0.773,121
1184,2020/8/9,PHI,POR,L 121-124,240,47,97,0.485,33,67,0.493,14,30,0.467,13,17,0.765,121,43,91,0.473,32,56,0.571,11,35,0.314,27,29,0.931,124
1185,2020/8/9,POR,PHI,W 124-121,240,43,91,0.473,32,56,0.571,11,35,0.314,27,29,0.931,124,47,97,0.485,33,67,0.493,14,30,0.467,13,17,0.765,121
1186,2020/8/9,HOU,SAC,W 129-112,240,43,91,0.473,25,34,0.735,18,57,0.316,25,30,0.833,129,41,87,0.471,31,50,0.62,10,37,0.27,20,23,0.87,112
1187,2020/8/9,SAC,HOU,L 112-129,240,41,87,0.471,31,50,0.62,10,37,0.27,20,23,0.87,112,43,91,0.473,25,34,0.735,18,57,0.316,25,30,0.833,129
1188,2020/8/9,MEM,TOR,L 99-108,240,37,91,0.407,23,49,0.469,14,42,0.333,11,16,0.688,99,34,71,0.479,19,32,0.594,15,39,0.385,25,33,0.758,108
1189,2020/8/9,TOR,MEM,W 108-99,240,34,71,0.479,19,32,0.594,15,39,0.385,25,33,0.758,108,37,91,0.407,23,49,0.469,14,42,0.333,11,16,0.688,99
1190,2020/8/8,DAL,MIL,W 136-132 (OT),265,48,115,0.417,31,62,0.5,17,53,0.321,23,25,0.92,136,47,99,0.475,32,55,0.582,15,44,0.341,23,34,0.676,132
1191,2020/8/8,MIL,DAL,L 132-136 (OT),265,47,99,0.475,32,55,0.582,15,44,0.341,23,34,0.676,132,48,115,0.417,31,62,0.5,17,53,0.321,23,25,0.92,136
1192,2020/8/8,DEN,UTA,W 134-132 (2OT),290,51,108,0.472,42,71,0.592,9,37,0.243,23,30,0.767,134,47,105,0.448,25,50,0.5,22,55,0.4,16,22,0.727,132
1193,2020/8/8,UTA,DEN,L 132-134 (2OT),290,47,105,0.448,25,50,0.5,22,55,0.4,16,22,0.727,132,51,108,0.472,42,71,0.592,9,37,0.243,23,30,0.767,134
1194,2020/8/8,IND,LAL,W 116-111,240,44,84,0.524,29,51,0.569,15,33,0.455,13,14,0.929,116,42,100,0.42,29,61,0.475,13,39,0.333,14,19,0.737,111
1195,2020/8/8,LAL,IND,L 111-116,240,42,100,0.42,29,61,0.475,13,39,0.333,14,19,0.737,111,44,84,0.524,29,51,0.569,15,33,0.455,13,14,0.929,116
1196,2020/8/8,MIA,PHO,L 112-119,240,41,84,0.488,30,48,0.625,11,36,0.306,19,22,0.864,112,44,92,0.478,32,60,0.533,12,32,0.375,19,20,0.95,119
1197,2020/8/8,PHO,MIA,W 119-112,240,44,92,0.478,32,60,0.533,12,32,0.375,19,20,0.95,119,41,84,0.488,30,48,0.625,11,36,0.306,19,22,0.864,112
1198,2020/8/8,LAC,POR,W 122-117,240,42,85,0.494,27,51,0.529,15,34,0.441,23,28,0.821,122,44,90,0.489,27,47,0.574,17,43,0.395,12,17,0.706,117
1199,2020/8/8,POR,LAC,L 117-122,240,44,90,0.489,27,47,0.574,17,43,0.395,12,17,0.706,117,42,85,0.494,27,51,0.529,15,34,0.441,23,28,0.821,122
