,FG_AVG,FG%_AVG,2P_AVG,2P%_AVG,3P_AVG,3PA_AVG,FT_AVG,PTS_AVG,FG.1_AVG,FG%.1_AVG,2P.1_AVG,2P%.1_AVG,3P.1_AVG,3P%.1_AVG,FTA.1_AVG,FT%.1_AVG,PTS.1_AVG,FG%_players_AVG,3P_players_AVG,3PA_players_AVG,FT_players_AVG,FT%_players_AVG,DRB_players_AVG,TRB_players_AVG,AST_players_AVG,STL_players_AVG,BLK_players_AVG,TOV_players_AVG,PF_players_AVG,PTS_players_AVG,+/-_players_AVG,TS%_players_AVG,3PAr_players_AVG,FTr_players_AVG,ORB%_players_AVG,TRB%_players_AVG,AST%_players_AVG,STL%_players_AVG,BLK%_players_AVG,TOV%_players_AVG,USG%_players_AVG,ORtg_players_AVG,DRtg_players_AVG,A/T_AVG,FG_AVG_AVG,y
919,-4.700000000000003,-0.02000000000000001,-8.899999999999997,-0.014699999999999937,4.200000000000001,9.200000000000003,5.1,-0.10000000000000853,2.5,0.03109999999999996,3.3999999999999986,0.035499999999999976,-0.8999999999999986,0.012699999999999987,-1.9000000000000021,0.008099999999999996,2.9000000000000057,-0.016956388000000044,0.48411111100000004,0.9223888890000008,0.6233263890000003,0.11235477099999992,-0.03990277800000008,-0.0925902780000003,0.218381945,-0.10028472200000003,-0.16981944499999996,0.6960625,-0.1605972229999999,-0.03164583000000043,-0.984291667,0.014388667000000075,0.08533925700000006,0.112758458,0.30846736100000083,0.37081389299999934,2.43071458,-0.11388819400000028,-0.6203499999999997,4.3842472200000016,-0.20323402,-0.292201399999982,2.035861099999991,-0.8190147560000001,-0.17595833999999755,1
598,-1.9000000000000057,-0.03610000000000002,0.3000000000000007,-0.06840000000000003,-2.2,-4.600000000000001,3.5999999999999983,-2.4000000000000057,0.7000000000000028,-0.0050000000000000044,2.0,-0.004700000000000038,-1.3000000000000007,-0.019299999999999984,1.9000000000000021,0.04910000000000003,2.5,-0.036339228999999966,-0.3331319450000001,-0.7743472220000003,0.31837499999999985,0.0014322779999999535,-0.30930555499999945,-0.5306041669999999,-0.8486041670000001,-0.05995138900000008,-0.015479166999999959,-0.2912361109999999,-0.1049236109999998,-0.9244652799999996,-2.037368056,-0.042328416000000035,-0.05337927699999995,-0.007235667000000001,-1.1826263890000002,-1.0020013929999991,-1.9201055499999988,-0.2503076390000001,0.04708055600000005,-2.3556208299999994,-0.39851389000000026,-10.843263899999966,-3.9170347000000163,-0.11424846,-2.379104159999997,0
1069,-0.5,-0.0202,-4.400000000000002,-0.04220000000000007,3.9,7.0,0.1999999999999993,3.1000000000000085,-2.299999999999997,-0.03240000000000004,0.3000000000000007,-0.058400000000000014,-2.6,-0.03160000000000002,0.6000000000000014,0.05720000000000002,-5.200000000000003,-0.046290215000000016,0.444527777,0.7104166669999996,0.028937500000000064,0.011635797999999977,0.5537986109999999,0.5659097219999989,-0.051034722999999886,-0.133402778,0.127993056,0.029562499999999936,0.17486111199999987,0.20782638999999925,4.976263889,-0.03521040300000011,0.082971931,-0.017077264000000036,0.11691458300000156,0.6812777820000004,0.1986423600000009,-0.29779374999999986,0.27050694499999994,1.1355909719999993,0.009066669999999277,-6.694388899999992,-8.831611100000018,-0.2839421610000001,0.7172916699999979,1
855,0.30000000000000426,-0.02060000000000001,2.4999999999999964,-0.013399999999999971,-2.2,-1.1000000000000014,-0.3000000000000007,-1.9000000000000057,2.1000000000000014,0.00880000000000003,0.7999999999999972,0.013800000000000034,1.299999999999999,0.008099999999999996,4.699999999999998,-0.04209999999999992,8.5,-0.03421520899999997,-0.25334027699999995,-0.18076388799999954,0.03212499999999996,0.037872931,0.3786388890000003,0.5566388890000002,-0.3322986120000002,-0.194930555,0.17152777799999994,0.1428055560000001,0.15578472199999993,0.18764584000000006,-5.563236110999999,-0.04472561799999997,-0.007135985999999983,0.009299651999999992,-0.3254840269999999,-0.4029368059999996,-2.1966930599999994,-0.5318347220000001,0.16191388799999995,0.6058638800000011,-0.4111645899999985,-9.800951400000027,0.68131249999999,-0.3983592589999998,0.38858332999999945,0
1131,-1.6000000000000014,-0.01369999999999999,-1.6999999999999993,0.02190000000000003,0.10000000000000142,4.600000000000001,5.200000000000003,2.1000000000000085,-1.3000000000000045,-0.005700000000000038,1.5,-0.04570000000000008,-2.8000000000000007,0.023800000000000043,-0.20000000000000284,0.013600000000000056,-4.899999999999992,-0.010970757000000051,0.02004861099999977,0.5610972219999999,0.6710416670000001,0.13022436800000006,0.5150069450000001,0.3137569450000006,-0.12127777800000004,0.10982638899999986,-0.05515277800000007,0.22565277699999986,-0.02436805500000005,0.770326390000001,4.391909721999999,0.00867487499999997,0.07552377799999999,0.05368188200000002,-0.9070458329999996,0.5100277779999995,0.12457847000000125,0.11954722299999987,-0.7310263889999999,2.332434029,0.2124451399999998,-3.581909699999983,-10.512506900000004,-0.6012797949999997,1.0174791600000006,1
392,-0.9000000000000057,0.01980000000000004,-0.6999999999999993,0.012600000000000056,-0.1999999999999993,-2.6999999999999957,1.3999999999999986,-0.6000000000000085,-4.5,-0.06699999999999995,-1.6999999999999993,-0.09289999999999997,-2.799999999999999,-0.0509,5.199999999999998,-0.07030000000000003,-9.5,-0.01737090300000005,-0.1965902770000001,-0.7882708329999994,-0.02528472299999996,-0.09282118700000004,0.4955694439999996,0.2437638879999993,-0.5567152780000004,-0.10300000000000008,0.017395832999999916,0.3705625000000001,0.051868055999999996,-1.6295416599999992,5.440680555,-0.031341952000000006,-0.05245874299999997,0.03768684699999997,-0.5169465280000005,0.3634868100000013,-1.918725,0.01572638900000012,0.034053472999999945,1.9698125010000016,-0.6224430500000011,-10.815833300000007,-15.907347299999998,-0.7297331790000001,-2.028097220000004,0
687,-2.299999999999997,-0.032299999999999995,-0.10000000000000142,0.011299999999999977,-2.2,1.1000000000000014,-0.3000000000000007,-7.1000000000000085,-3.299999999999997,-0.03089999999999998,-5.900000000000002,-0.05580000000000007,2.6,0.014899999999999969,7.1999999999999975,0.06410000000000005,2.299999999999997,-0.060413888999999936,-0.4289236110000001,-0.39100694399999897,-0.298284722,0.021756125000000008,0.19801388899999986,-0.08418750000000053,-0.8893055559999996,-0.399923611,-0.07245138899999998,-0.4771875000000001,-0.13331250000000014,-1.98609722,-5.974395833000001,-0.06658449999999994,0.026221035000000004,-0.02477625,-1.1886791669999996,-0.3869124970000009,-1.8843694500000008,-0.5084347229999999,0.04502569400000024,-3.17902361,-0.6308861099999987,-9.089680599999994,-2.0226110999999776,-0.1297799460000002,-3.43196528,0
1101,-3.0,-0.04120000000000002,-4.399999999999999,-0.07039999999999996,1.3999999999999986,2.5,0.6000000000000014,-4.0,3.5,0.027600000000000013,2.3000000000000007,0.04630000000000002,1.200000000000001,0.0065999999999999965,3.5,0.0776,12.700000000000005,-0.04590970800000005,0.06327083300000003,-0.01168749999999985,-0.21148611099999992,0.07882304200000001,-0.414618055,-0.583027777999999,-0.17865277700000035,-0.1593541660000002,-0.205479167,-0.153048611,0.009180554999999924,-1.7371041599999997,-9.041423611,-0.026280264000000053,-0.000389693999999996,-0.04614301399999998,-0.7481701389999995,-0.7447388899999989,0.7677048600000003,-0.2953243060000001,-0.5429631939999999,-0.4252069439999993,-0.4108187500000007,-6.397083400000013,7.966166599999966,-0.189842512,-2.8636180499999995,0
673,-3.6000000000000014,-0.034200000000000015,-4.699999999999998,0.0009000000000000119,1.0999999999999996,7.6999999999999975,-3.9000000000000017,-10.0,-4.199999999999996,-0.025300000000000045,-7.8000000000000025,-0.04860000000000009,3.6,0.04570000000000002,0.5999999999999979,0.046499999999999986,-2.9000000000000057,-0.032989639000000015,0.06425000000000014,0.6048055560000001,-0.6639722219999997,-0.03262004899999993,0.0181874999999998,-0.29632638899999986,-0.04315972199999996,-0.17675000000000007,0.059840278000000025,0.01808333300000009,-0.21434722200000025,-2.27290277,-5.181659723,-0.03468767300000008,0.07820850700000004,-0.075651146,-0.9873256939999996,-0.11574930499999958,2.664222219999999,-0.06369236099999998,1.1741930549999997,1.1594250000000006,-0.002436809999998957,-9.456937499999981,-0.5163402999999961,-0.3342608300000003,-2.7292986100000007,1
806,-2.799999999999997,0.01799999999999996,-2.500000000000004,0.0192,-0.2999999999999989,-2.5,-0.09999999999999787,-6.0,-0.6000000000000014,0.008099999999999996,-0.5,-0.015100000000000002,-0.09999999999999963,0.035599999999999965,1.4000000000000021,-0.07920000000000005,-1.899999999999992,0.014391486000000009,0.060041667000000125,-0.16615277799999986,0.01431249999999995,-0.020570054999999976,-0.10761111100000063,-0.3527361109999987,-0.4019999999999997,0.06390972299999986,-0.21374305500000013,0.568173611,0.280402778,-0.5898263900000007,-2.7529861110000002,0.009913194000000014,0.01073227099999996,0.05125907000000002,-0.4764229159999998,0.056044439999999085,-1.92522153,-0.023987499999999832,-0.8162277780000002,4.865149310000001,-0.18408333,-5.629361099999998,-2.757326300000031,-0.9102801220000001,-1.4943958399999993,0
