,FG%.1_AVG,PTS.1_AVG,+/-_players_AVG,DRtg_players_AVG,winning_rate,y
156,0.0348,-0.2000000000000028,1.5068472220000002,4.202958399999987,-0.085995086,1
1134,0.0112,0.3000000000000113,-4.645638889,8.737882000000013,-0.2,0
14,-0.0094,11.800000000000011,-6.843069444,11.94920829999998,-0.184090909,0
739,-0.0510999999999999,1.899999999999992,-6.443,-7.5362776999999985,-0.090643275,1
594,-0.0001,-7.399999999999991,4.557701389,-6.9560902000000056,-0.202511774,1
488,-0.0153,-1.5999999999999943,7.501541666,-2.906645800000021,0.116835017,0
687,0.0146999999999999,13.400000000000004,0.8023888889999999,6.148861100000032,0.027906977,0
32,-0.0549999999999999,-7.800000000000012,8.643541667000001,-5.05253470000001,0.0574712639999999,1
917,-0.0151,-10.900000000000004,-0.8226736109999999,-3.7897429999999863,0.0,0
970,-0.0085,0.7999999999999972,1.7639097220000002,-1.6024723000000023,-0.0441176469999999,1
568,-0.0396,-13.700000000000005,1.944729167,-9.4483264,-0.294418605,0
832,-0.0133,-9.299999999999995,1.157090278,-6.706152799999983,-0.0198412699999999,1
396,0.0398999999999999,7.400000000000006,0.6273402770000002,3.4103541000000206,0.004166667,1
824,0.006,4.900000000000006,-1.6455625,-1.5554513999999957,0.103448276,0
968,-0.0107999999999999,-7.199999999999988,8.303729167,-9.553687499999995,-0.158088235,0
514,-0.0177999999999999,-4.299999999999997,4.153145833,-7.471569499999987,-0.028301887,0
822,-0.0287,-0.7000000000000028,-2.638076389000001,-2.696562499999999,-0.1428571429999999,1
825,0.0151,1.7000000000000028,-2.577256945,0.6499861000000209,-0.3419354840000001,0
766,-0.0186,-0.5,2.0462222220000004,-1.8938888999999792,-0.237254902,1
193,-0.0388999999999999,-7.599999999999994,5.009395832999999,-7.703798599999986,-0.111907271,1
1132,-0.0221,-11.599999999999996,2.390458333,-9.325326399999994,0.4,1
662,-0.0007,0.7999999999999972,3.956909722,-4.856819500000015,-0.067239636,1
389,-0.0437,-10.899999999999991,5.562416666,-10.732458300000005,0.022739292,1
304,0.0015,13.299999999999995,-0.3195277769999985,5.037201400000002,0.0827292109999999,0
459,0.0071999999999999,-1.5999999999999943,-3.606819444,-0.7490277000000134,-0.073446328,0
558,-0.0701,-16.900000000000006,5.566451389,-12.2374444,-0.0094268469999999,1
776,0.0171,-4.300000000000011,-5.076243055,-4.352423600000009,-0.057142857,0
820,-0.0056999999999999,-4.0,-4.683333333999999,-3.9512014000000018,-0.266666667,0
43,-0.0569,-15.200000000000005,4.766298611,-11.571638900000028,0.2539215679999999,1
719,-0.0021999999999999,-0.7000000000000028,1.195895834,-0.390423599999977,0.0,0
972,0.0595,6.400000000000006,0.2842916669999999,4.862555599999993,0.1875,1
165,0.0199,3.5,-3.782340278,-2.285798600000021,-0.245286725,0
1008,0.0154,3.1999999999999886,-2.510756945,-1.9530764000000005,-0.5,1
849,0.0212,5.099999999999994,-9.013222222,3.986791700000012,-0.5277777779999999,0
255,-0.0113,-6.5,-2.748875,3.850055600000005,0.044162748,1
1075,-0.0158,-0.3999999999999915,4.884638889,-3.8239375,-0.1111111109999999,0
185,-0.0713999999999999,-4.599999999999994,9.683930556,-6.345319400000022,-0.0469924819999999,1
658,-0.0121999999999999,2.0999999999999943,-7.584798611,-0.8769098000000071,-0.0921985819999999,0
773,-0.0185,0.1000000000000085,-2.471548611,-2.969027799999992,-0.2706349209999999,0
433,-0.0116999999999999,-4.5,1.087076389,-0.1875278000000122,0.044126242,0
854,0.0330999999999999,-0.6999999999999886,-1.1754236109999998,-0.6027707999999876,0.06043956,0
860,0.0145,4.299999999999997,1.6373194449999997,-0.5516458000000171,-0.038461539,1
554,-0.0382,-9.100000000000009,-4.809291667,-1.7089514000000037,-0.181818182,1
272,0.0034,-0.7999999999999972,6.804666665999999,-4.7447500000000105,0.2463768119999999,1
229,-0.0148999999999999,1.7999999999999972,-2.2001875,2.6604027999999857,-0.151616499,0
394,-0.0302,-14.599999999999996,1.5167222219999998,-9.434069499999977,-0.117276167,1
918,0.0288999999999999,9.200000000000005,-4.5506875,5.867555500000008,-0.235294118,1
33,0.092,16.099999999999994,-4.270284722,17.460451399999997,-0.012981744,0
267,0.0078,4.799999999999997,2.573979167,0.7588889000000023,-0.175485345,0
726,0.0176,-7.099999999999994,6.397527778000001,-5.2230902000000015,-0.205128205,1
540,0.0162,6.200000000000002,0.2201388889999997,2.4128054999999904,0.0511111109999999,0
